"location_name","location_id","all_bed_capacity","icu_bed_capacity","all_bed_usage","icu_bed_usage","available_all_nbr","available_icu_nbr","travel_limit_start_date","travel_limit_end_date","stay_home_start_date","stay_home_end_date","educational_fac_start_date","educational_fac_end_date","any_gathering_restrict_start_date","any_gathering_restrict_end_date","any_business_start_date","any_business_end_date","all_non-ess_business_start_date","all_non-ess_business_end_date"
"Maranhão",4759,11926,469,9333,403,2593,66,,,,,2020-03-17,,2020-03-21,,2020-03-21,,2020-03-21,2020-06-26
"Marche",35505,5491,115,4253,81,1238,34,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
"Maryland",543,14350,1030,10389,764,3961,266,,,2020-03-30,2020-05-15,2020-03-16,,2020-03-16,2020-06-10,2020-03-16,,2020-03-23,2020-05-15
"Massachusetts",544,20197,1250,15348,973,4849,277,,,,,2020-03-17,,2020-03-13,,2020-03-17,,2020-03-24,2020-05-18
"Mato Grosso",4762,6270,468,4861,400,1409,68,,,2020-03-31,,2020-03-23,,2020-03-16,,2020-03-26,,2020-03-26,2020-04-22
"Mato Grosso do Sul",4761,5036,319,3904,272,1132,47,,,,,2020-03-23,,2020-03-16,,2020-03-23,,2020-03-23,2020-08-14
"Mauritania",212,1722,12,992,6,730,6,2020-03-29,2020-07-10,,,2020-03-16,2020-09-01,2020-03-19,2020-09-05,2020-03-19,2020-07-07,,
"Mauritius",183,3302,56,2111,39,1191,17,2020-03-23,2020-05-30,2020-03-23,2020-05-30,2020-03-19,2020-07-01,2020-03-23,2020-06-12,2020-03-23,2020-06-15,2020-03-23,2020-06-12
"Mecklenburg-Vorpommern",60385,,,,,,,,,2020-03-23,2020-05-07,2020-03-16,,2020-03-23,,2020-03-18,,2020-03-18,2020-04-20
"Meghalaya",4862,,,,,,,2020-03-24,2020-05-11,2020-03-24,2020-06-08,2020-03-17,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-24
"Mexico",130,122578,5828,78482,4638,44096,1190,,,,,2020-03-23,,2020-03-24,,2020-04-04,,2020-04-04,
"Mexico City",4651,16634,943,10350,741,6284,202,,,2020-06-22,,2020-03-19,,2020-03-16,,2020-03-30,,2020-04-01,2020-06-15
"Michigan",545,28300,2164,18145,1421,10155,743,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-23,2020-05-07
"Michoacán de Ocampo",4658,4464,107,2520,78,1944,29,,,2020-06-22,,2020-03-23,,2020-03-15,2020-10-12,2020-03-23,,2020-03-30,2020-06-15
"Minas Gerais",4760,37510,2847,29032,2431,8478,416,,,,,2020-03-20,,2020-03-22,,2020-03-22,,,
"Minnesota",546,15196,1140,10212,785,4984,355,,,2020-03-28,2020-05-18,2020-03-18,,2020-03-28,,2020-03-17,2020-06-10,,
"Mississippi",547,14005,862,8272,521,5733,341,,,2020-04-03,2020-04-27,2020-03-19,,2020-03-24,,2020-03-24,2020-06-01,2020-04-03,2020-04-27
"Missouri",548,21575,1586,13642,1027,7933,559,,,2020-04-06,2020-05-15,2020-03-23,,2020-03-23,2020-05-04,2020-03-23,2020-06-16,,
"Molise",35508,1087,30,844,21,243,9,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Montana",549,4145,219,2475,134,1670,85,,,2020-03-26,2020-04-26,2020-03-15,,2020-03-24,2020-06-01,2020-03-20,2020-06-01,2020-03-26,2020-05-01
"Montenegro",50,2335,57,1694,34,641,23,2020-03-17,2020-05-04,,,2020-03-16,,2020-03-13,,2020-03-18,,2020-03-18,2020-05-04
"Morelos",4659,1506,79,961,63,545,16,,,2020-06-22,,2020-03-17,,2020-03-20,2020-09-14,2020-03-23,,2020-03-30,2020-07-06
"Morocco",148,31279,1851,20558,1191,10721,660,2020-03-20,2020-06-25,2020-03-18,2020-06-25,2020-03-16,,2020-03-05,,2020-03-16,,2020-03-16,2020-06-25
"Mozambique",184,20451,97,9706,41,10745,56,,,,,2020-03-23,,2020-03-23,,2020-03-30,,,
"Murcia",60366,,,,,,,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
"Myanmar",15,33677,378,23019,281,10658,97,2020-03-12,,,,2020-03-24,,2020-03-13,,2020-03-24,,,
"México",4657,12543,553,7311,416,5232,137,,,2020-04-02,,2020-03-22,,2020-03-24,,2020-03-23,,2020-04-02,2020-07-20
"Nagaland",4864,,,,,,,2020-03-18,2020-05-04,2020-03-25,2020-06-01,2020-03-18,,2020-03-25,,2020-03-18,,2020-03-18,2020-04-25
"Namibia",195,6206,145,3852,87,2354,58,,,2020-04-14,2020-05-05,2020-03-16,2020-09-07,2020-03-14,,2020-04-14,,2020-04-14,2020-05-05
"Navarre",60370,,,,,,,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
"Nayarit",4660,851,26,539,20,312,6,,,2020-06-22,,2020-03-22,,2020-03-15,2020-11-09,2020-03-23,,2020-03-30,2020-08-31
"Nebraska",550,7413,569,4283,336,3130,233,,,,,2020-04-02,,2020-03-16,,2020-03-19,2020-07-06,,
"Nepal",164,5699,576,4687,461,1012,115,2020-03-24,2020-06-15,2020-03-24,2020-06-15,2020-03-18,,2020-03-18,,2020-03-18,,2020-03-22,2020-06-15
"Netherlands",89,62991,1420,40490,797,22501,623,,,,,2020-03-15,2020-08-17,2020-03-10,,2020-03-12,,,
"Nevada",551,8006,696,5758,513,2248,183,,,2020-03-31,2020-05-09,2020-03-16,,2020-03-24,,2020-03-18,,2020-03-21,2020-05-09
"New Hampshire",552,3052,263,2033,179,1019,84,,,2020-03-27,2020-06-16,2020-03-16,,2020-03-16,,2020-03-16,2020-06-29,2020-03-28,2020-05-11
"New Jersey",553,25996,1643,18181,1177,7815,466,,,2020-03-21,2020-06-09,2020-03-18,,2020-03-16,,2020-03-16,,2020-03-21,2020-05-02
"New Mexico",554,4756,331,3003,214,1753,117,,,,,2020-03-13,,2020-03-12,,2020-03-16,,2020-03-24,2020-05-15
"New York",555,62232,3787,49221,3069,13011,718,,,2020-03-22,2020-06-08,2020-03-18,,2020-03-12,,2020-03-16,,2020-03-22,2020-06-08
"New Zealand",72,14559,267,11654,202,2905,65,,,2020-03-24,2020-05-14,2020-03-24,2020-05-18,2020-03-16,2020-06-09,2020-03-24,2020-06-09,2020-03-24,2020-04-28
"Nicaragua",131,5931,209,4132,142,1799,67,,,,,,,,,,,,
"Niger",213,5577,52,3361,30,2216,22,,,,,2020-03-17,2020-08-14,2020-03-13,2020-05-25,2020-03-18,,,
"Nigeria",214,189176,1003,107432,541,81744,462,,,,,2020-03-23,,2020-03-27,,2020-12-17,,,
"North Carolina",556,24713,2096,17587,1528,7126,568,,,2020-03-30,2020-05-08,2020-03-14,,2020-03-14,,2020-03-17,,2020-03-30,2020-05-08
"North Dakota",557,3779,219,2234,132,1545,87,,,,,2020-03-16,,,,2020-03-20,,,
"North Macedonia",49,8873,209,5364,96,3509,113,,,2020-03-22,2020-05-13,2020-03-10,,2020-03-22,,2020-03-14,,2020-03-14,2020-05-13
"North Rhine-Westphalia",60386,,,,,,,,,2020-03-23,2020-05-11,2020-03-16,,2020-03-23,,2020-02-26,,2020-03-23,2020-04-20
"Northern Ireland",433,5618,212,4718,163,900,49,,,2020-03-23,2020-06-13,2020-03-23,2020-08-31,2020-03-23,,2020-03-23,,2020-03-23,2020-06-08
"Norway",90,20357,419,16905,319,3452,100,,,,,2020-03-12,2020-05-15,2020-03-12,,2020-03-12,,,
"Nova Scotia",43864,,,,,,,,,,,2020-03-16,2020-09-08,2020-03-15,,2020-03-15,,,
"Nuevo León",4661,6149,442,4360,375,1789,67,,,2020-06-22,,2020-03-22,,2020-03-23,,2020-03-24,,2020-03-30,2020-06-15
"Oaxaca",4662,3117,69,1678,49,1439,20,,,2020-06-22,,2020-03-22,,2020-03-12,2020-08-31,2020-03-23,,2020-03-30,2020-07-06
"Odisha",4865,,,,,,,2020-03-24,2020-05-18,2020-03-24,2020-06-01,2020-03-13,,2020-03-24,,2020-03-24,,2020-03-24,2020-05-04
"Ohio",558,37351,3371,23060,2132,14291,1239,,,2020-03-23,2020-05-20,2020-03-16,,2020-03-12,,2020-03-15,,2020-03-23,2020-05-04
"Oklahoma",559,13153,1166,7695,699,5458,467,,,,,2020-03-17,,2020-03-24,2020-05-24,2020-04-01,2020-06-01,2020-04-01,2020-04-24
"Oman",150,7185,171,4343,99,2842,72,,,,,2020-03-15,,2020-04-21,,2020-03-31,2020-10-01,,
"Ontario",43866,,,,,,,,,,,2020-03-16,,2020-03-16,,2020-03-16,,2020-04-05,2020-05-04
"Oregon",560,7900,655,5242,445,2658,210,,,2020-03-23,2020-06-19,2020-03-16,,2020-03-12,,2020-03-17,,,
"Pakistan",165,120257,3443,97675,2732,22582,711,,,2020-03-24,2020-05-09,2020-03-15,2020-09-30,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
"Palestine",149,8244,369,5247,228,2997,141,2020-03-22,2020-05-29,2020-03-22,2020-05-29,2020-03-16,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-05
"Panama",132,8570,312,4686,158,3884,154,2020-03-13,2020-06-01,2020-03-25,2020-06-01,2020-03-16,,2020-03-25,,2020-03-25,,2020-03-25,2020-05-13
"Paraguay",136,7477,624,6023,547,1454,77,,,2020-03-20,,2020-03-11,,2020-03-10,,2020-03-12,,2020-03-21,2020-05-25
"Paraná",4765,24672,1896,19026,1616,5646,280,,,,,2020-03-20,,2020-03-16,,2020-03-16,,2020-03-21,2020-06-22
"Paraíba",4764,7370,412,5716,352,1654,60,,,,,2020-03-19,2020-09-24,2020-03-17,,2020-03-29,,,
"Pará",4763,12147,612,9493,525,2654,87,2020-04-06,2020-04-21,,,2020-03-24,,2020-03-27,,2020-03-20,,2020-03-20,2020-05-31
"Pennsylvania",561,42658,3250,28263,2206,14395,1044,,,2020-04-01,2020-06-05,2020-03-17,,2020-04-01,2020-09-14,2020-03-18,2020-07-03,2020-03-23,2020-05-08
"Pernambuco",4766,18812,1299,14619,1112,4193,187,,,,,2020-03-18,,,,2020-03-19,,2020-03-20,2020-06-08
"Peru",123,41162,861,23406,773,17756,88,,,2020-03-16,,2020-03-16,,2020-03-12,,2020-03-16,,2020-03-16,2020-05-01
"Philippines",16,93686,2434,63251,1792,30435,642,,,,,2020-03-16,,,,,,,
"Piaui",4767,6371,230,4947,196,1424,34,,,,,2020-03-16,,2020-03-16,,2020-03-19,,2020-03-23,2020-08-17
"Piemonte",35494,15287,327,11846,231,3441,96,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
"Poland",51,202488,9796,146030,5906,56458,3890,,,2020-03-24,2020-04-20,2020-03-12,2020-09-01,2020-03-10,2020-09-18,2020-03-31,,2020-11-07,2020-11-28
"Portugal",91,34964,766,24030,470,10934,296,2020-04-09,2020-05-02,2020-03-19,2020-05-02,2020-03-16,2020-09-14,2020-03-19,,2020-03-16,,2020-03-19,2020-05-02
"Provincia autonoma di Bolzano",35498,1744,37,1352,26,392,11,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Provincia autonoma di Trento",35499,1847,32,1431,22,416,10,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Puebla",4663,5773,245,3286,181,2487,64,,,2020-06-22,,2020-03-22,,2020-03-23,2020-09-28,2020-03-29,,2020-03-30,2020-08-17
"Puerto Rico",385,7263,155,4487,95,2776,60,,,2020-03-16,2020-06-16,2020-03-16,,2020-03-12,,2020-03-16,2020-06-16,2020-03-16,2020-05-04
"Puglia",35510,15201,304,11781,215,3420,89,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-24,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Punjab",4867,,,,,,,2020-03-23,2020-05-20,2020-03-23,2020-06-01,2020-03-19,,2020-03-22,,2020-03-23,,2020-03-23,2020-04-30
"Punjab",53620,51809,1601,42227,1274,9582,327,,,2020-03-24,2020-05-09,2020-03-15,2020-09-30,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
"Qatar",151,3721,186,2332,113,1389,73,,,,,2020-03-10,,2020-03-14,,2020-03-13,,2020-03-13,2020-06-15
"Quebec",43868,,,,,,,,,,,2020-03-16,2020-08-27,2020-03-12,,2020-03-15,,2020-03-23,2020-05-04
"Querétaro",4664,1718,160,1254,137,464,23,,,2020-06-22,,2020-03-15,,2020-03-13,2020-09-28,2020-03-23,,2020-03-30,2020-06-29
"Quintana Roo",4665,1382,95,1070,84,312,11,,,2020-06-22,,2020-03-22,,2020-03-24,2020-09-14,2020-03-23,,2020-03-30,2020-06-15
"Rajasthan",4868,,,,,,,2020-03-22,2020-05-25,2020-03-22,2020-06-01,2020-03-22,2021-01-18,2020-03-19,,2020-03-22,,2020-03-22,2020-05-14
"Republic of Korea",68,435097,9642,289829,5981,145268,3661,,,,,2020-03-02,2020-06-08,,,2020-03-22,,,
"Republic of Moldova",61,18319,393,14870,279,3449,114,,,2020-03-25,2020-05-16,2020-03-11,,2020-03-10,,2020-03-13,,2020-03-16,2020-06-01
"Rhineland-Palatinate",60387,,,,,,,,,2020-03-22,2020-05-13,2020-03-16,2020-11-02,2020-03-22,,2020-03-23,,2020-03-23,2020-04-20
"Rhode Island",562,2757,153,1962,111,795,42,,,2020-03-28,2020-05-09,2020-03-16,,2020-03-17,,2020-03-17,,,
"Rio Grande do Norte",4769,6557,406,5076,346,1481,60,2020-06-04,2020-06-16,,,2020-03-24,,2020-04-01,,2020-04-01,,2020-04-01,2020-04-23
"Rio Grande do Sul",4772,27493,1582,21064,1343,6429,239,,,,,2020-04-01,,2020-03-19,,2020-03-19,,2020-04-01,2020-04-08
"Rio de Janeiro",4768,34586,3862,26744,3297,7842,565,,,2020-03-30,,2020-03-13,,2020-03-13,,2020-03-16,,,
"Romania",52,127491,4786,95585,3042,31906,1744,,,2020-03-23,2020-05-15,2020-03-11,,2020-03-06,,2020-03-21,,2020-03-21,2020-05-15
"Rondônia",4770,3752,201,2902,171,850,30,,,,,2020-03-17,,2020-03-20,,2020-03-20,,2020-03-20,2020-05-14
"Roraima",4771,1020,24,791,20,229,4,,,,,2020-03-17,,2020-03-16,,2020-03-22,,2020-03-27,
"Russian Federation",62,1121647,20040,915991,14360,205656,5680,,,,,2020-03-23,2020-09-01,,,2020-03-30,,2020-03-30,2020-05-12
"Rwanda",185,19408,65,8740,25,10668,40,2020-03-21,,2020-03-21,2020-05-04,2020-03-16,2021-02-23,2020-03-17,,2020-03-21,,2020-03-21,2020-05-04
"Saarland",60388,,,,,,,,,2020-03-21,2020-05-18,2020-03-16,,2020-03-21,,2020-03-15,,2020-12-16,
"San Luis Potosí",4666,2540,116,1770,97,770,19,,,2020-06-22,,2020-03-22,,2020-03-20,2020-10-12,2020-03-22,,2020-03-30,2020-06-15
"San Marino",396,147,2,93,1,54,1,,,,,2020-02-23,2020-09-07,2020-03-08,2020-06-15,2020-03-08,,,
"Santa Catarina",4773,14395,783,11070,666,3325,117,,,,,2020-03-19,,2020-03-17,,2020-03-17,,2020-03-17,2020-04-13
"Sao Tome and Principe",215,467,1,251,0,216,1,,,,,2020-03-19,,2020-03-19,,2020-03-19,,,
"Sardegna",35514,6016,134,4663,95,1353,39,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-22,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Saskatchewan",43869,,,,,,,,,,,2020-03-20,2020-09-08,2020-03-13,,2020-03-18,,,
"Saudi Arabia",152,73872,7814,46291,4759,27581,3055,2020-03-26,2020-05-31,2020-05-25,2020-06-21,2020-03-09,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-29
"Saxony",60390,,,,,,,,,2020-03-23,2020-04-20,2020-03-23,2020-07-18,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
"Saxony-Anhalt",60389,,,,,,,,,2020-03-22,2020-05-04,2020-03-16,2020-06-15,2020-03-22,,2020-03-24,,2020-03-24,2020-04-20
"Schleswig-Holstein",60391,,,,,,,,,2020-03-24,2020-05-09,2020-03-16,,2020-03-24,,2020-03-14,,2020-03-24,2020-04-20
"Scotland",434,21370,711,17896,545,3474,166,,,2020-03-23,2020-05-28,2020-03-23,2020-08-18,2020-03-23,,2020-03-23,,2020-03-23,2020-05-28
"Senegal",216,3955,35,2346,19,1609,16,,,,,2020-03-16,,2020-03-14,,,,,
"Serbia",53,40118,156,27423,87,12695,69,2020-03-21,2020-04-23,2020-03-18,2020-05-07,2020-03-16,,2020-03-11,,2020-03-16,,2020-03-16,2020-04-21
"Sergipe",4774,2993,220,2341,189,652,31,,,,,2020-03-16,,2020-03-16,,2020-03-20,,2020-03-24,2020-04-16
"Shandong",513,299770,4099,197076,2967,102694,1132,2020-02-04,2020-02-18,2020-02-04,2020-02-18,2020-02-04,2020-02-18,2020-02-04,2020-02-18,2020-02-04,2020-02-18,2020-02-04,2020-02-18
"Shanghai",514,82870,1140,54201,821,28669,319,2020-02-10,2020-03-24,2020-02-10,2020-03-24,2020-02-10,2020-03-24,2020-02-10,2020-03-24,2020-02-10,2020-03-24,2020-02-10,2020-03-24
"Sicilia",35513,18889,418,14663,296,4226,122,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Sierra Leone",217,4124,28,2402,15,1722,13,,,2020-04-05,2020-04-08,2020-03-31,2020-10-05,2020-03-16,,2020-04-11,2020-05-06,2020-04-11,2020-05-06
"Sinaloa",4667,2992,155,2128,131,864,24,,,,,2020-03-19,,2020-03-20,2020-09-28,2020-03-23,,2020-03-30,2020-07-20
"Sindh",53621,31732,848,25637,670,6095,178,,,2020-03-22,2020-05-09,2020-03-01,2020-09-30,2020-03-22,,2020-03-22,,2020-03-22,2020-04-15
"Singapore",69,14180,345,11275,260,2905,85,,,2020-04-07,2020-06-02,2020-04-08,2020-06-29,2020-03-20,,2020-03-26,,2020-04-07,2020-06-02
"Slovakia",54,32736,656,22339,365,10397,291,2020-04-08,2020-04-14,,,2020-03-12,2020-09-02,2020-03-12,,2020-03-16,2020-06-03,2020-03-16,2020-03-30
"Slovenia",55,9371,213,6642,125,2729,88,2020-03-16,2020-04-30,,,2020-03-16,2020-09-01,2020-03-12,,2020-03-15,,2020-03-15,2020-04-20
"Somalia",187,13186,65,6374,28,6812,37,,,,,2020-03-19,2020-08-15,2020-03-19,2020-05-29,,,,
"Sonora",4668,3470,175,2350,144,1120,31,,,2020-04-12,,2020-03-16,,2020-03-17,2020-08-31,2020-03-23,,2020-03-30,2020-07-20
"South Africa",196,133337,3565,82465,2137,50872,1428,2020-03-27,2020-06-01,2020-03-27,2020-06-01,2020-03-18,,2020-03-15,,2020-03-27,,2020-03-27,2020-05-01
"South Carolina",563,13707,1244,9027,839,4680,405,,,2020-04-07,2020-05-04,2020-03-16,,2020-03-18,,2020-03-18,2020-08-03,,
"South Dakota",564,4733,202,2927,128,1806,74,,,,,2020-03-16,,2020-04-06,2020-04-28,,,,
"South Sudan",435,9007,37,4186,15,4821,22,2020-04-12,,2020-05-01,2020-07-08,2020-03-20,,2020-03-20,,2020-03-28,,2020-03-28,2020-05-08
"Spain",92,139677,3397,106153,2322,33524,1075,,,,,,,,,,,,
"Sri Lanka",17,56868,971,36099,676,20769,295,2020-03-24,2020-04-27,,,2020-03-13,2020-08-10,2020-03-14,,2020-03-14,,,
"Sudan",522,27301,1816,18210,1189,9091,627,2020-04-12,,2020-05-01,2020-07-08,2020-03-15,,2020-03-15,,,,,
"Suriname",118,1499,26,1193,20,306,6,,,2020-06-04,2020-06-12,2020-03-16,,2020-04-06,,2020-03-29,,,
"Sweden",93,30183,1077,23103,367,7080,710,,,,,,,2020-03-11,,,,,
"Switzerland",94,40861,772,34259,593,6602,179,,,,,2020-03-13,2020-06-08,2020-02-28,,2020-03-16,2020-06-06,2020-03-16,2020-04-27
"Syrian Arab Republic",153,22567,1022,14321,631,8246,391,2020-03-23,2020-05-10,,,2020-03-14,,2020-03-24,,2020-03-22,,2020-03-22,2020-04-18
"São Paulo",4775,84259,7859,65009,6701,19250,1158,,,,,2020-03-23,,2020-03-14,,2020-03-24,,2020-03-24,2020-05-29
"Tabasco",4669,2056,97,1425,81,631,16,,,,,2020-03-22,,2020-03-14,2020-08-31,2020-03-23,,2020-04-01,2020-06-15
"Taiwan (Province of China)",8,146833,6368,94162,4552,52671,1816,,,,,2020-02-02,2020-02-25,,,,,,
"Tajikistan",39,47495,954,32931,554,14564,400,,,,,2020-05-04,2020-08-17,2020-04-25,,,,,
"Tamaulipas",4670,3791,195,2346,152,1445,43,,,2020-06-22,,2020-03-16,,2020-03-13,2020-08-31,2020-03-23,,2020-03-30,2020-06-15
"Tamil Nadu",4870,,,,,,,2020-03-24,2020-04-29,2020-03-24,2020-06-01,2020-03-24,,2020-03-23,,2020-03-24,,2020-03-24,2020-04-29
"Telangana",4871,,,,,,,2020-03-22,2020-05-19,2020-03-22,2020-06-08,2020-03-14,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-19
"Tennessee",565,21784,1834,13972,1205,7812,629,,,2020-04-02,2020-05-26,2020-03-20,,2020-03-23,,2020-03-23,,2020-04-01,2020-05-26
"Texas",566,77428,6378,48794,4118,28634,2260,,,2020-04-02,2020-05-01,2020-03-19,,2020-03-21,2020-06-04,2020-03-21,,,
"Thailand",18,119587,6899,76785,4855,42802,2044,,,,,2020-03-18,2020-08-13,,,2020-03-26,2020-06-15,,
"Thuringia",60392,,,,,,,,,2020-03-22,2020-05-13,2020-03-17,2020-06-13,2020-03-22,2020-06-13,2020-03-15,,2020-12-16,
"Tlaxcala",4671,992,41,632,32,360,9,,,,,2020-03-15,,2020-03-27,2020-08-31,2020-03-23,,2020-03-23,2020-07-20
"Tocantins",4776,2544,115,1980,98,564,17,,,,,2020-03-18,,2020-03-21,,2020-05-05,,2020-05-05,
"Togo",218,5978,33,3413,17,2565,16,,,,,2020-03-20,,2020-03-20,,2020-03-21,,,
"Toscana",35503,12949,374,10030,265,2919,109,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Trinidad and Tobago",119,3641,32,2293,20,1348,12,,,2020-03-30,2020-05-24,2020-03-16,,2020-03-16,,2020-03-17,,2020-03-30,2020-05-11
"Tripura",4872,,,,,,,2020-03-24,2020-05-18,2020-03-24,2020-06-01,2020-03-17,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-21
"Tunisia",154,21009,894,13202,546,7807,348,,,2020-03-22,2020-05-15,2020-03-13,2021-01-24,2020-03-16,2020-06-08,2020-03-13,2020-06-08,2020-03-22,2020-05-04
"Turkey",155,205125,24736,133316,15726,71809,9010,,,,,2020-03-16,,2020-03-16,2020-05-29,2020-03-16,,,
"Uganda",190,39618,82,19035,35,20583,47,2020-03-30,2020-05-26,2020-03-30,2020-06-02,2020-03-20,,2020-03-18,,2020-03-18,,2020-03-30,2020-05-04
"Ukraine",63,365132,6303,325256,4940,39876,1363,,,2020-04-03,2020-06-05,2020-03-12,,2020-03-12,,2020-03-12,,2020-03-17,2020-05-11
"Umbria",35504,3223,70,2497,49,726,21,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"United Arab Emirates",156,14240,659,9079,409,5161,250,,,2020-03-23,2020-04-24,2020-03-08,,2020-03-23,,2020-03-23,,,
"United Kingdom",95,190078,5872,159673,4520,30405,1352,,,2020-03-23,2020-06-19,2020-03-23,2020-09-01,2020-03-16,,2020-03-20,,2020-03-24,2020-06-29
"United States Virgin Islands",422,217,4,136,2,81,2,,,2020-03-25,2020-05-04,2020-03-18,,2020-03-21,,2020-03-23,2020-06-01,2020-03-25,2020-05-04
"Uruguay",99,8168,704,6106,428,2062,276,,,,,2020-03-15,2020-06-29,,,2020-03-17,,,
"Utah",567,6726,428,3955,257,2771,171,,,,,2020-03-16,,2020-03-19,2020-05-01,2020-03-19,,,
"Uttar Pradesh",4873,,,,,,,2020-03-25,2020-05-20,2020-03-25,2020-06-01,2020-03-25,,2020-03-25,,2020-03-25,,2020-03-25,2020-05-20
"Uttarakhand",4874,,,,,,,2020-03-22,2020-05-04,2020-03-22,2020-06-01,2020-03-13,,2020-03-22,,2020-03-22,,2020-03-22,2020-04-24
"Uzbekistan",41,153923,3322,129698,2463,24225,859,2020-03-27,2020-05-18,2020-03-27,2020-08-15,2020-03-16,,2020-03-23,,2020-03-21,,,
"Valencian Community",60371,,,,,,,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
"Valle d'Aosta",35495,438,10,339,7,99,3,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,2020-09-14,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
"Veneto",35500,17248,494,13357,349,3891,145,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-01,2020-09-14,2020-02-22,,2020-02-22,2020-06-15,2020-03-11,2020-04-14
"Venezuela (Bolivarian Republic of)",133,27906,1218,17002,553,10904,665,2020-03-17,,2020-03-20,,2020-03-16,,2020-03-12,,2020-03-16,,2020-03-16,2020-06-01
"Veracruz de Ignacio de la Llave",4672,6314,197,4085,158,2229,39,,,,,2020-03-16,2020-12-07,2020-03-16,2020-08-31,2020-03-23,2020-12-07,2020-03-30,2020-06-29
"Vermont",568,1525,102,992,68,533,34,,,2020-03-24,2020-05-15,2020-03-18,,2020-03-13,,2020-03-17,,2020-03-25,2020-05-04
"Viet Nam",20,207811,3867,133527,2723,74284,1144,2020-03-30,2020-04-29,2020-04-01,2020-04-30,2020-02-01,2020-05-11,2020-03-28,,2020-03-28,,2020-03-28,2020-04-16
"Virginia",569,23270,1241,16689,912,6581,329,,,2020-03-30,2020-06-05,2020-03-16,,2020-03-15,,2020-03-17,,2020-03-24,2020-05-15
"Wales",4636,11127,387,9326,297,1801,90,2020-06-01,2020-07-06,2020-03-23,2020-06-01,2020-03-23,2020-09-01,2020-03-23,,2020-03-23,,2020-03-23,2020-06-22
"Washington",570,15235,1116,10328,775,4907,341,,,2020-03-23,2020-07-03,2020-03-13,,2020-03-11,,2020-03-16,,2020-03-25,2020-07-03
"West Bengal",4875,,,,,,,2020-03-24,2020-05-05,2020-03-24,2020-06-01,2020-03-14,,2020-03-24,,2020-03-24,,2020-03-24,2020-05-05
"West Virginia",571,8403,568,5371,372,3032,196,,,2020-03-25,2020-05-04,2020-03-14,,2020-03-24,,2020-03-18,,2020-03-24,2020-05-04
"Wisconsin",572,14232,476,8867,303,5365,173,,,2020-03-25,2020-05-13,2020-03-18,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-11
"Wyoming",573,2453,105,1384,60,1069,45,,,,,2020-03-19,,2020-03-20,,2020-03-19,2020-05-15,,
"Yemen",157,20609,1388,13845,916,6764,472,,,,,2020-03-25,,,,,,,
"Yucatán",4673,2243,147,1875,134,368,13,,,2020-06-22,,2020-03-16,,2020-03-26,2020-11-23,2020-03-23,,2020-03-30,2020-06-15
