forecast_date,target_end_date,target,location,type,quantile,location_name,value
2020-10-12,2020-10-03,-1 wk ahead inc death,PL,observed,NA,Poland,180.0
2020-10-12,2020-10-10,0 wk ahead inc death,PL,observed,NA,Poland,368.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,point,NA,Poland,413.02372134921427
2020-10-12,2020-10-24,2 wk ahead inc death,PL,point,NA,Poland,654.8265438895005
2020-10-12,2020-10-31,3 wk ahead inc death,PL,point,NA,Poland,1038.6257774159922
2020-10-12,2020-11-07,4 wk ahead inc death,PL,point,NA,Poland,1382.8116747035176
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.01,Poland,215.8
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.025,Poland,237.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.05,Poland,259.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.1,Poland,282.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.15,Poland,298.5
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.2,Poland,315.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.25,Poland,328.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.3,Poland,340.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.35,Poland,352.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.4,Poland,366.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.45,Poland,380.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.5,Poland,396.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.55,Poland,411.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.6,Poland,429.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.65,Poland,449.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.7,Poland,471.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.75,Poland,493.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.8,Poland,515.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.85,Poland,541.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.9,Poland,571.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.95,Poland,611.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.975,Poland,646.0
2020-10-12,2020-10-17,1 wk ahead inc death,PL,quantile,0.99,Poland,681.1000000000004
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.01,Poland,302.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.025,Poland,334.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.05,Poland,363.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.1,Poland,404.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.15,Poland,431.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.2,Poland,456.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.25,Poland,479.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.3,Poland,500.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.35,Poland,524.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.4,Poland,547.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.45,Poland,574.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.5,Poland,602.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.55,Poland,636.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.6,Poland,677.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.65,Poland,725.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.7,Poland,777.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.75,Poland,826.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.8,Poland,873.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.85,Poland,923.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.9,Poland,977.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.95,Poland,1052.0
2020-10-12,2020-10-24,2 wk ahead inc death,PL,quantile,0.975,Poland,1114.0
