bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,9,5,2,8,37,2021-02-08 12:15:00,35,4
01,01002,5,12,9,3,45,121,2021-02-08 12:15:00,121,39
01,01003,2,17,10,2,24,114,2021-02-08 12:15:00,114,24
01,01004,1,3,2,1,3,22,2021-02-08 12:15:00,22,3
01,01051,1,3,3,1,1,37,2021-02-08 12:15:00,37,1
01,01053,2,6,3,2,4,14,2021-02-08 12:15:00,14,4
01,01054,3,3,2,3,5,15,2021-02-08 12:15:00,15,5
01,01055,3,5,1,3,14,34,2021-02-08 12:15:00,34,14
01,01056,2,4,3,2,5,29,2021-02-08 12:15:00,29,5
01,01057,1,3,3,1,4,8,2021-02-08 12:15:00,8,4
01,01058,5,0,0,3,15,27,2021-02-08 12:15:00,25,11
01,01059,1,5,1,1,3,21,2021-02-08 12:15:00,21,3
01,01060,4,5,3,4,28,65,2021-02-08 12:15:00,65,28
01,01061,3,6,4,1,10,34,2021-02-08 12:15:00,26,6
01,01062,3,1,0,3,9,25,2021-02-08 12:15:00,25,9
02,02000,34,81,47,24,136,538,2021-02-08 12:15:00,475,89
03,03101,7,13,6,5,29,101,2021-02-08 12:15:00,87,26
03,03102,2,3,2,2,10,19,2021-02-08 12:15:00,19,10
03,03103,3,1,0,1,7,27,2021-02-08 12:15:00,19,7
03,03151,1,5,2,1,4,8,2021-02-08 12:15:00,8,4
03,03153,3,7,4,3,3,31,2021-02-08 12:15:00,31,3
03,03154,1,5,5,1,1,17,2021-02-08 12:15:00,17,1
03,03155,2,1,1,2,4,15,2021-02-08 12:15:00,15,4
03,03157,1,4,2,1,0,17,2021-02-08 12:15:00,17,0
03,03158,1,0,0,1,4,12,2021-02-08 12:15:00,12,4
03,03159,8,31,14,7,23,138,2021-02-08 12:15:00,119,23
03,03241,19,57,38,16,57,354,2021-02-08 12:15:00,313,51
03,03251,3,1,1,3,5,14,2021-02-08 12:15:00,14,5
03,03252,6,6,2,4,21,53,2021-02-08 12:15:00,53,15
03,03254,7,13,5,4,11,63,2021-02-08 12:15:00,56,8
03,03255,1,2,1,1,2,9,2021-02-08 12:15:00,9,2
03,03256,1,5,3,1,4,20,2021-02-08 12:15:00,20,4
03,03257,1,0,0,1,6,16,2021-02-08 12:15:00,16,6
03,03351,2,2,0,1,4,25,2021-02-08 12:15:00,19,3
03,03352,2,3,2,2,2,10,2021-02-08 12:15:00,10,2
03,03353,3,6,4,3,6,28,2021-02-08 12:15:00,28,6
03,03354,1,0,0,1,6,9,2021-02-08 12:15:00,9,6
03,03355,3,0,0,1,11,33,2021-02-08 12:15:00,27,1
03,03356,3,1,1,2,0,13,2021-02-08 12:15:00,13,0
03,03357,3,1,1,2,5,29,2021-02-08 12:15:00,27,3
03,03358,2,1,1,2,2,18,2021-02-08 12:15:00,18,2
03,03359,3,2,0,2,10,23,2021-02-08 12:15:00,22,8
03,03360,2,11,8,2,12,64,2021-02-08 12:15:00,64,12
03,03361,2,0,0,2,0,15,2021-02-08 12:15:00,15,0
03,03401,1,3,3,1,4,13,2021-02-08 12:15:00,13,4
03,03402,1,1,1,1,6,9,2021-02-08 12:15:00,9,6
03,03403,6,13,6,3,17,111,2021-02-08 12:15:00,98,3
03,03404,5,13,6,4,20,94,2021-02-08 12:15:00,79,19
03,03405,2,2,2,1,10,30,2021-02-08 12:15:00,26,6
03,03451,3,3,1,2,7,26,2021-02-08 12:15:00,26,7
03,03452,4,0,0,3,9,27,2021-02-08 12:15:00,27,1
03,03453,3,7,5,3,2,26,2021-02-08 12:15:00,26,2
03,03454,10,4,1,6,39,50,2021-02-08 12:15:00,40,23
03,03455,2,2,1,2,6,27,2021-02-08 12:15:00,27,6
