gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,bundesland,daten_stand
03454,6,6,5,6,45.0,64.0,03,2020-04-28 09:15:00

03455,2,2,1,2,13.0,5.0,03,2020-04-28 09:15:00

03456,1,5,4,1,20.0,18.0,03,2020-04-28 09:15:00

03457,3,1,0,2,19.0,24.0,03,2020-04-28 09:15:00

03458,1,1,1,1,8.0,7.0,03,2020-04-28 09:15:00

03459,8,0,0,7,68.0,57.0,03,2020-04-28 09:15:00

03460,3,4,0,3,46.0,26.0,03,2020-04-28 09:15:00

03461,2,0,0,2,14.0,10.0,03,2020-04-28 09:15:00

03462,1,0,0,1,5.0,8.0,03,2020-04-28 09:15:00

04011,10,9,6,9,91.0,108.0,04,2020-04-28 09:15:00

04012,1,3,2,1,18.0,28.0,04,2020-04-28 09:15:00

05111,12,19,18,11,75.0,237.0,05,2020-04-28 09:15:00

05112,13,12,11,9,98.0,177.0,05,2020-04-28 09:15:00

05113,15,30,26,14,102.0,264.0,05,2020-04-28 09:15:00

05114,4,14,9,4,14.0,72.0,05,2020-04-28 09:15:00

05116,5,10,7,4,46.0,76.0,05,2020-04-28 09:15:00

05117,2,6,5,2,19.0,33.0,05,2020-04-28 09:15:00

05119,5,1,0,4,29.0,33.0,05,2020-04-28 09:15:00

05120,1,4,3,1,14.0,22.0,05,2020-04-28 09:15:00

05122,3,8,6,3,39.0,54.0,05,2020-04-28 09:15:00

05124,5,11,9,5,114.0,101.0,05,2020-04-28 09:15:00

05154,5,7,5,5,28.0,49.0,05,2020-04-28 09:15:00

05158,6,8,7,6,47.0,44.0,05,2020-04-28 09:15:00

05162,7,12,10,6,43.0,79.0,05,2020-04-28 09:15:00

05166,4,6,5,4,26.0,34.0,05,2020-04-28 09:15:00

05170,8,12,6,8,78.0,86.0,05,2020-04-28 09:15:00

05314,14,18,16,10,55.0,205.0,05,2020-04-28 09:15:00

05315,26,45,33,18,102.0,353.0,05,2020-04-28 09:15:00

05316,3,2,2,2,36.0,48.0,05,2020-04-28 09:15:00

05334,7,14,10,7,64.0,84.0,05,2020-04-28 09:15:00

05358,5,8,4,5,30.0,54.0,05,2020-04-28 09:15:00

05362,7,10,6,7,31.0,54.0,05,2020-04-28 09:15:00

05366,3,3,3,3,7.0,40.0,05,2020-04-28 09:15:00

05370,3,8,4,3,8.0,23.0,05,2020-04-28 09:15:00

05374,7,3,3,7,45.0,56.0,05,2020-04-28 09:15:00

05378,4,5,5,4,15.0,41.0,05,2020-04-28 09:15:00

05382,6,6,3,6,37.0,61.0,05,2020-04-28 09:15:00

05512,2,2,1,2,46.0,23.0,05,2020-04-28 09:15:00

05513,4,5,2,3,74.0,30.0,05,2020-04-28 09:15:00

05515,8,14,12,7,73.0,194.0,05,2020-04-28 09:15:00

05554,5,9,4,5,39.0,45.0,05,2020-04-28 09:15:00

05558,3,1,1,3,25.0,20.0,05,2020-04-28 09:15:00

05562,14,5,1,14,146.0,172.0,05,2020-04-28 09:15:00

05566,5,21,14,5,42.0,64.0,05,2020-04-28 09:15:00

05570,4,1,1,4,29.0,26.0,05,2020-04-28 09:15:00

05711,4,5,5,4,43.0,107.0,05,2020-04-28 09:15:00

05754,3,1,1,3,28.0,26.0,05,2020-04-28 09:15:00

05758,4,4,4,3,23.0,47.0,05,2020-04-28 09:15:00

05762,5,5,3,5,20.0,23.0,05,2020-04-28 09:15:00

05766,2,7,4,2,31.0,51.0,05,2020-04-28 09:15:00

05770,6,11,4,6,50.0,99.0,05,2020-04-28 09:15:00

05774,5,6,3,4,38.0,85.0,05,2020-04-28 09:15:00

05911,7,12,7,5,86.0,166.0,05,2020-04-28 09:15:00

05913,9,8,8,9,95.0,215.0,05,2020-04-28 09:15:00

05914,5,8,3,5,43.0,33.0,05,2020-04-28 09:15:00

05915,6,6,4,5,40.0,55.0,05,2020-04-28 09:15:00

05916,4,5,3,4,23.0,48.0,05,2020-04-28 09:15:00

05954,5,3,3,5,43.0,42.0,05,2020-04-28 09:15:00

05958,9,4,4,9,94.0,52.0,05,2020-04-28 09:15:00

05962,8,17,7,8,54.0,84.0,05,2020-04-28 09:15:00

05966,3,9,9,3,27.0,20.0,05,2020-04-28 09:15:00

05970,6,4,4,6,48.0,88.0,05,2020-04-28 09:15:00

05974,7,2,1,7,34.0,59.0,05,2020-04-28 09:15:00

05978,8,3,3,8,75.0,79.0,05,2020-04-28 09:15:00

06411,6,9,5,4,29.0,49.0,06,2020-04-28 09:15:00

06412,16,48,39,12,118.0,259.0,06,2020-04-28 09:15:00

06413,2,7,5,2,42.0,72.0,06,2020-04-28 09:15:00

06414,5,8,7,4,68.0,80.0,06,2020-04-28 09:15:00

06431,5,5,1,5,14.0,32.0,06,2020-04-28 09:15:00

06432,2,10,6,2,2.0,25.0,06,2020-04-28 09:15:00

06433,2,6,5,2,19.0,17.0,06,2020-04-28 09:15:00

06434,3,2,1,3,5.0,25.0,06,2020-04-28 09:15:00

06435,4,17,10,4,27.0,63.0,06,2020-04-28 09:15:00

06436,2,11,6,2,47.0,30.0,06,2020-04-28 09:15:00

06437,2,8,8,2,25.0,124.0,06,2020-04-28 09:15:00

06438,2,12,12,2,26.0,31.0,06,2020-04-28 09:15:00

06439,2,0,1,2,13.0,5.0,06,2020-04-28 09:15:00

06440,5,5,3,5,59.0,80.0,06,2020-04-28 09:15:00

06531,4,14,13,4,53.0,216.0,06,2020-04-28 09:15:00

06532,2,3,3,2,17.0,34.0,06,2020-04-28 09:15:00

06533,3,3,2,3,38.0,28.0,06,2020-04-28 09:15:00

06534,4,7,6,3,59.0,129.0,06,2020-04-28 09:15:00

06535,4,2,1,4,21.0,20.0,06,2020-04-28 09:15:00

06611,6,13,9,6,54.0,123.0,06,2020-04-28 09:15:00

06631,4,8,8,4,26.0,63.0,06,2020-04-28 09:15:00

06632,3,2,1,3,30.0,43.0,06,2020-04-28 09:15:00

06633,3,1,1,3,11.0,18.0,06,2020-04-28 09:15:00

06634,3,2,1,3,25.0,24.0,06,2020-04-28 09:15:00

06635,7,0,0,7,56.0,69.0,06,2020-04-28 09:15:00

06636,2,2,2,2,28.0,11.0,06,2020-04-28 09:15:00

07111,4,8,6,4,46.0,63.0,07,2020-04-28 09:15:00

07131,2,1,0,2,14.0,14.0,07,2020-04-28 09:15:00

07132,2,3,3,2,13.0,7.0,07,2020-04-28 09:15:00

07133,4,1,0,4,16.0,26.0,07,2020-04-28 09:15:00

07134,2,0,0,2,8.0,20.0,07,2020-04-28 09:15:00

07135,2,0,0,2,12.0,4.0,07,2020-04-28 09:15:00

07137,4,1,0,4,28.0,16.0,07,2020-04-28 09:15:00

07138,5,1,1,5,40.0,36.0,07,2020-04-28 09:15:00

07140,2,0,0,2,5.0,9.0,07,2020-04-28 09:15:00

07141,5,3,2,5,20.0,26.0,07,2020-04-28 09:15:00

07143,4,2,1,4,17.0,19.0,07,2020-04-28 09:15:00

07211,4,3,1,3,64.0,63.0,07,2020-04-28 09:15:00

07231,2,2,2,2,12.0,12.0,07,2020-04-28 09:15:00

07232,2,0,0,2,9.0,9.0,07,2020-04-28 09:15:00

07233,2,5,5,2,14.0,5.0,07,2020-04-28 09:15:00

07235,2,0,0,2,12.0,6.0,07,2020-04-28 09:15:00

07311,1,3,1,1,6.0,16.0,07,2020-04-28 09:15:00

07312,1,10,4,1,77.0,74.0,07,2020-04-28 09:15:00

07313,2,4,1,2,16.0,6.0,07,2020-04-28 09:15:00

07314,4,6,4,4,51.0,70.0,07,2020-04-28 09:15:00

07315,2,7,2,2,47.0,98.0,07,2020-04-28 09:15:00

07316,1,0,0,1,7.0,14.0,07,2020-04-28 09:15:00

07317,1,0,0,1,11.0,5.0,07,2020-04-28 09:15:00

07318,3,6,6,2,10.0,21.0,07,2020-04-28 09:15:00

07319,1,1,0,1,3.0,27.0,07,2020-04-28 09:15:00

07320,1,0,0,1,15.0,0.0,07,2020-04-28 09:15:00

07331,1,2,0,1,3.0,4.0,07,2020-04-28 09:15:00

07332,2,4,3,2,6.0,9.0,07,2020-04-28 09:15:00

07333,2,0,0,2,5.0,7.0,07,2020-04-28 09:15:00

07334,2,0,0,2,18.0,11.0,07,2020-04-28 09:15:00

07335,1,0,0,1,9.0,7.0,07,2020-04-28 09:15:00

07336,1,0,0,1,2.0,14.0,07,2020-04-28 09:15:00

07337,2,0,0,2,7.0,10.0,07,2020-04-28 09:15:00

07339,2,11,11,2,15.0,12.0,07,2020-04-28 09:15:00

07340,1,0,0,1,8.0,1.0,07,2020-04-28 09:15:00

08111,11,23,16,10,233.0,287.0,08,2020-04-28 09:15:00

08115,4,10,8,4,26.0,37.0,08,2020-04-28 09:15:00

08116,6,22,16,4,39.0,59.0,08,2020-04-28 09:15:00

08117,4,4,3,3,37.0,34.0,08,2020-04-28 09:15:00

08118,5,28,23,4,142.0,102.0,08,2020-04-28 09:15:00

08119,2,6,4,2,63.0,46.0,08,2020-04-28 09:15:00

08121,1,19,12,1,68.0,41.0,08,2020-04-28 09:15:00

08125,2,10,4,2,17.0,42.0,08,2020-04-28 09:15:00

08126,1,5,5,1,2.0,9.0,08,2020-04-28 09:15:00

08127,2,9,5,2,9.0,17.0,08,2020-04-28 09:15:00

08128,3,9,9,3,32.0,36.0,08,2020-04-28 09:15:00

08135,1,4,4,1,7.0,17.0,08,2020-04-28 09:15:00

08136,3,8,6,3,24.0,26.0,08,2020-04-28 09:15:00

08211,1,10,8,1,6.0,18.0,08,2020-04-28 09:15:00

08212,4,8,5,4,72.0,116.0,08,2020-04-28 09:15:00

08215,3,10,4,3,52.0,27.0,08,2020-04-28 09:15:00

08216,2,0,0,2,1.0,14.0,08,2020-04-28 09:15:00

08221,6,24,15,6,131.0,250.0,08,2020-04-28 09:15:00

08222,5,18,12,3,39.0,108.0,08,2020-04-28 09:15:00

08225,3,2,1,3,13.0,10.0,08,2020-04-28 09:15:00

08226,4,4,3,4,12.0,33.0,08,2020-04-28 09:15:00

08231,2,4,3,2,35.0,54.0,08,2020-04-28 09:15:00

08235,2,5,5,2,12.0,10.0,08,2020-04-28 09:15:00

08236,2,0,0,2,18.0,6.0,08,2020-04-28 09:15:00

08237,1,3,2,1,9.0,9.0,08,2020-04-28 09:15:00

08311,4,22,20,4,50.0,135.0,08,2020-04-28 09:15:00

08315,4,7,1,4,47.0,74.0,08,2020-04-28 09:15:00

08316,3,6,4,3,5.0,30.0,08,2020-04-28 09:15:00

08317,6,8,7,6,135.0,49.0,08,2020-04-28 09:15:00

08325,2,7,4,2,4.0,9.0,08,2020-04-28 09:15:00

08326,3,10,9,1,24.0,51.0,08,2020-04-28 09:15:00

08327,1,2,2,1,13.0,7.0,08,2020-04-28 09:15:00

08335,6,10,5,5,40.0,59.0,08,2020-04-28 09:15:00

08336,1,5,5,1,3.0,22.0,08,2020-04-28 09:15:00

08337,2,3,3,2,29.0,15.0,08,2020-04-28 09:15:00

08415,1,6,5,1,22.0,20.0,08,2020-04-28 09:15:00

08416,2,3,3,2,9.0,30.0,08,2020-04-28 09:15:00

08417,1,13,9,1,3.0,22.0,08,2020-04-28 09:15:00

08421,3,16,8,3,73.0,85.0,08,2020-04-28 09:15:00

08425,2,4,2,2,20.0,10.0,08,2020-04-28 09:15:00

08426,1,5,5,1,9.0,18.0,08,2020-04-28 09:15:00

08435,3,7,1,3,42.0,28.0,08,2020-04-28 09:15:00

08436,5,8,7,4,23.0,41.0,08,2020-04-28 09:15:00

08437,1,4,4,1,13.0,12.0,08,2020-04-28 09:15:00

09161,1,1,1,1,14.0,44.0,09,2020-04-28 09:15:00

09162,24,149,108,22,279.0,557.0,09,2020-04-28 09:15:00

09163,1,9,5,1,39.0,24.0,09,2020-04-28 09:15:00

09171,3,0,0,2,11.0,23.0,09,2020-04-28 09:15:00

09172,3,7,6,3,6.0,16.0,09,2020-04-28 09:15:00

09173,2,5,3,2,12.0,16.0,09,2020-04-28 09:15:00

09174,1,8,7,1,42.0,26.0,09,2020-04-28 09:15:00

09175,1,3,3,1,13.0,7.0,09,2020-04-28 09:15:00

09176,3,3,2,3,19.0,43.0,09,2020-04-28 09:15:00

09177,1,5,5,1,14.0,14.0,09,2020-04-28 09:15:00

09178,1,8,3,1,4.0,20.0,09,2020-04-28 09:15:00

09179,1,2,1,1,4.0,11.0,09,2020-04-28 09:15:00

09180,2,3,1,2,60.0,57.0,09,2020-04-28 09:15:00

09182,1,3,3,1,13.0,17.0,09,2020-04-28 09:15:00

09183,1,10,9,1,9.0,11.0,09,2020-04-28 09:15:00

09184,2,0,0,2,10.0,8.0,09,2020-04-28 09:15:00

09185,3,3,2,2,19.0,9.0,09,2020-04-28 09:15:00

09186,1,0,0,1,5.0,8.0,09,2020-04-28 09:15:00

09187,5,32,23,5,22.0,55.0,09,2020-04-28 09:15:00

09188,5,8,6,5,44.0,47.0,09,2020-04-28 09:15:00

09189,3,10,7,2,17.0,46.0,09,2020-04-28 09:15:00

09190,3,1,1,3,23.0,21.0,09,2020-04-28 09:15:00

09261,2,12,2,2,24.0,42.0,09,2020-04-28 09:15:00

09262,3,6,2,2,19.0,28.0,09,2020-04-28 09:15:00

09263,1,2,1,1,23.0,18.0,09,2020-04-28 09:15:00

09271,2,9,4,2,8.0,27.0,09,2020-04-28 09:15:00

09272,2,1,1,2,13.0,10.0,09,2020-04-28 09:15:00

09273,3,4,4,3,15.0,11.0,09,2020-04-28 09:15:00

09274,1,2,2,1,4.0,6.0,09,2020-04-28 09:15:00

09275,1,3,3,1,8.0,10.0,09,2020-04-28 09:15:00

09276,2,4,2,2,12.0,12.0,09,2020-04-28 09:15:00

09277,2,13,11,2,15.0,22.0,09,2020-04-28 09:15:00

09278,2,13,4,2,14.0,16.0,09,2020-04-28 09:15:00

09279,2,4,1,2,4.0,13.0,09,2020-04-28 09:15:00

09361,1,5,3,1,18.0,16.0,09,2020-04-28 09:15:00

09362,4,52,37,4,106.0,244.0,09,2020-04-28 09:15:00

09363,1,13,10,1,23.0,58.0,09,2020-04-28 09:15:00

09371,1,2,2,1,9.0,5.0,09,2020-04-28 09:15:00

09372,1,3,2,1,9.0,8.0,09,2020-04-28 09:15:00

09373,1,3,3,1,15.0,20.0,09,2020-04-28 09:15:00

09375,2,3,3,2,2.0,12.0,09,2020-04-28 09:15:00

09376,3,10,9,3,16.0,22.0,09,2020-04-28 09:15:00

09461,4,7,4,1,33.0,27.0,09,2020-04-28 09:15:00

09462,5,10,9,2,13.0,54.0,09,2020-04-28 09:15:00

09464,1,1,1,1,20.0,22.0,09,2020-04-28 09:15:00

09471,2,3,2,2,10.0,8.0,09,2020-04-28 09:15:00

09472,1,1,1,1,6.0,4.0,09,2020-04-28 09:15:00

09474,2,1,1,2,7.0,10.0,09,2020-04-28 09:15:00

09475,2,4,4,2,6.0,11.0,09,2020-04-28 09:15:00

09476,1,3,2,1,2.0,15.0,09,2020-04-28 09:15:00

09477,1,6,4,1,8.0,30.0,09,2020-04-28 09:15:00

09478,2,6,2,2,14.0,15.0,09,2020-04-28 09:15:00

09479,2,3,3,2,18.0,7.0,09,2020-04-28 09:15:00

09561,2,2,2,2,17.0,14.0,09,2020-04-28 09:15:00

09562,3,12,10,3,56.0,120.0,09,2020-04-28 09:15:00

09563,2,7,5,2,27.0,23.0,09,2020-04-28 09:15:00

09564,8,25,15,6,107.0,140.0,09,2020-04-28 09:15:00

09571,3,7,3,3,20.0,14.0,09,2020-04-28 09:15:00

09572,1,0,0,1,0.0,6.0,09,2020-04-28 09:15:00

09574,3,4,3,3,9.0,16.0,09,2020-04-28 09:15:00

09575,3,1,1,2,34.0,45.0,09,2020-04-28 09:15:00

09576,1,2,0,1,5.0,9.0,09,2020-04-28 09:15:00

09577,2,2,2,2,4.0,12.0,09,2020-04-28 09:15:00

09661,2,13,10,1,11.0,53.0,09,2020-04-28 09:15:00

09662,2,11,11,2,6.0,44.0,09,2020-04-28 09:15:00

09663,3,16,14,3,47.0,88.0,09,2020-04-28 09:15:00

09671,1,3,0,1,5.0,5.0,09,2020-04-28 09:15:00

09672,4,6,3,4,16.0,46.0,09,2020-04-28 09:15:00

09673,1,18,19,1,39.0,124.0,09,2020-04-28 09:15:00

09674,2,2,2,2,9.0,7.0,09,2020-04-28 09:15:00

09675,1,1,1,1,8.0,4.0,09,2020-04-28 09:15:00

09676,1,0,0,1,7.0,7.0,09,2020-04-28 09:15:00

09677,1,3,0,1,3.0,6.0,09,2020-04-28 09:15:00

09678,2,0,0,2,6.0,2.0,09,2020-04-28 09:15:00

09679,1,2,2,1,5.0,7.0,09,2020-04-28 09:15:00

09761,4,7,5,3,61.0,109.0,09,2020-04-28 09:15:00

09762,1,2,2,1,16.0,15.0,09,2020-04-28 09:15:00

09763,1,1,1,1,0.0,24.0,09,2020-04-28 09:15:00

09764,1,0,0,1,10.0,21.0,09,2020-04-28 09:15:00

09771,2,4,4,2,10.0,16.0,09,2020-04-28 09:15:00

09772,2,0,0,2,7.0,6.0,09,2020-04-28 09:15:00

09773,2,3,3,2,7.0,17.0,09,2020-04-28 09:15:00

09774,4,1,1,4,27.0,41.0,09,2020-04-28 09:15:00

09775,2,2,1,2,9.0,11.0,09,2020-04-28 09:15:00

09776,2,1,1,2,9.0,10.0,09,2020-04-28 09:15:00

09777,2,3,3,2,10.0,9.0,09,2020-04-28 09:15:00

09778,2,2,2,2,11.0,12.0,09,2020-04-28 09:15:00

09779,3,3,1,3,9.0,23.0,09,2020-04-28 09:15:00

09780,1,3,2,1,24.0,12.0,09,2020-04-28 09:15:00

10041,7,18,10,7,152.0,123.0,10,2020-04-28 09:15:00

10042,2,1,0,2,16.0,9.0,10,2020-04-28 09:15:00

10043,3,2,1,3,23.0,18.0,10,2020-04-28 09:15:00

10044,4,4,2,3,24.0,44.0,10,2020-04-28 09:15:00

10045,11,21,14,2,113.0,141.0,10,2020-04-28 09:15:00

10046,1,0,0,1,9.0,7.0,10,2020-04-28 09:15:00

11000,58,145,110,42,477.0,1036.0,11,2020-04-28 09:15:00

12051,3,3,1,3,31.0,51.0,12,2020-04-28 09:15:00

12052,2,0,0,2,47.0,54.0,12,2020-04-28 09:15:00

12053,1,0,0,1,8.0,7.0,12,2020-04-28 09:15:00

12054,4,8,5,4,38.0,35.0,12,2020-04-28 09:15:00

12060,2,17,5,2,39.0,73.0,12,2020-04-28 09:15:00

12061,5,0,0,5,28.0,49.0,12,2020-04-28 09:15:00

12062,3,0,0,3,27.0,18.0,12,2020-04-28 09:15:00

12063,2,4,2,2,11.0,10.0,12,2020-04-28 09:15:00

12064,3,5,2,3,25.0,20.0,12,2020-04-28 09:15:00

12065,5,1,1,5,40.0,19.0,12,2020-04-28 09:15:00

12066,1,2,1,1,13.0,27.0,12,2020-04-28 09:15:00

12067,4,3,3,4,43.0,71.0,12,2020-04-28 09:15:00

12068,3,5,1,3,19.0,39.0,12,2020-04-28 09:15:00

12069,3,2,0,3,42.0,58.0,12,2020-04-28 09:15:00

12070,2,0,0,2,18.0,7.0,12,2020-04-28 09:15:00

12071,3,0,0,3,15.0,8.0,12,2020-04-28 09:15:00

12072,2,0,0,2,12.0,10.0,12,2020-04-28 09:15:00

12073,4,1,1,4,17.0,24.0,12,2020-04-28 09:15:00

13003,2,0,0,2,43.0,76.0,13,2020-04-28 09:15:00

13004,1,1,1,1,20.0,44.0,13,2020-04-28 09:15:00

13071,5,4,3,5,24.0,54.0,13,2020-04-28 09:15:00

13072,5,0,0,4,37.0,27.0,13,2020-04-28 09:15:00

13073,4,0,0,4,26.0,41.0,13,2020-04-28 09:15:00

13074,2,0,0,2,18.0,7.0,13,2020-04-28 09:15:00

13075,6,2,2,6,73.0,131.0,13,2020-04-28 09:15:00

13076,6,0,0,6,38.0,114.0,13,2020-04-28 09:15:00

14511,3,6,1,3,45.0,131.0,14,2020-04-28 09:15:00

14521,6,11,9,6,40.0,51.0,14,2020-04-28 09:15:00

14522,5,3,2,5,38.0,31.0,14,2020-04-28 09:15:00

14523,3,2,2,3,32.0,40.0,14,2020-04-28 09:15:00

14524,5,11,9,5,38.0,82.0,14,2020-04-28 09:15:00

14612,8,6,6,6,64.0,136.0,14,2020-04-28 09:15:00

14625,6,0,0,5,28.0,36.0,14,2020-04-28 09:15:00

14626,5,1,1,5,21.0,38.0,14,2020-04-28 09:15:00

14627,5,4,4,5,50.0,44.0,14,2020-04-28 09:15:00

14628,5,27,12,5,41.0,68.0,14,2020-04-28 09:15:00

14713,8,6,2,7,193.0,226.0,14,2020-04-28 09:15:00

14729,3,0,0,3,24.0,32.0,14,2020-04-28 09:15:00

14730,7,0,0,7,23.0,46.0,14,2020-04-28 09:15:00

15001,2,0,0,2,29.0,31.0,15,2020-04-28 09:15:00

15002,6,8,6,5,98.0,223.0,15,2020-04-28 09:15:00

15003,7,3,2,5,70.0,201.0,15,2020-04-28 09:15:00

15081,2,0,0,2,13.0,9.0,15,2020-04-28 09:15:00

15082,3,0,0,3,37.0,29.0,15,2020-04-28 09:15:00

15083,2,5,1,2,18.0,21.0,15,2020-04-28 09:15:00

15084,3,1,1,3,33.0,26.0,15,2020-04-28 09:15:00

15085,4,3,2,4,34.0,27.0,15,2020-04-28 09:15:00

15086,1,0,0,1,6.0,7.0,15,2020-04-28 09:15:00

15087,3,1,1,3,22.0,15.0,15,2020-04-28 09:15:00

15088,2,1,1,2,9.0,18.0,15,2020-04-28 09:15:00

15089,4,0,0,4,29.0,43.0,15,2020-04-28 09:15:00

15090,2,0,0,2,20.0,28.0,15,2020-04-28 09:15:00

15091,2,2,1,2,42.0,21.0,15,2020-04-28 09:15:00

16051,2,3,2,2,33.0,63.0,16,2020-04-28 09:15:00

16052,1,7,3,1,7.0,39.0,16,2020-04-28 09:15:00

16053,2,5,3,1,24.0,93.0,16,2020-04-28 09:15:00

16054,1,1,1,1,24.0,10.0,16,2020-04-28 09:15:00

16055,1,0,0,1,6.0,10.0,16,2020-04-28 09:15:00

16056,1,2,2,1,24.0,20.0,16,2020-04-28 09:15:00

16061,3,3,3,3,11.0,19.0,16,2020-04-28 09:15:00

16062,3,9,9,3,43.0,38.0,16,2020-04-28 09:15:00

16063,3,1,1,3,16.0,73.0,16,2020-04-28 09:15:00

16064,3,8,2,3,65.0,39.0,16,2020-04-28 09:15:00

16065,1,0,0,1,12.0,3.0,16,2020-04-28 09:15:00

16066,2,3,2,2,16.0,30.0,16,2020-04-28 09:15:00

16067,2,0,0,2,35.0,15.0,16,2020-04-28 09:15:00

16068,1,0,0,1,7.0,7.0,16,2020-04-28 09:15:00

16069,1,0,0,1,5.0,3.0,16,2020-04-28 09:15:00

16070,2,0,0,2,7.0,9.0,16,2020-04-28 09:15:00

16071,3,7,5,3,56.0,70.0,16,2020-04-28 09:15:00

16072,1,1,0,1,0.0,8.0,16,2020-04-28 09:15:00

16073,1,1,1,1,15.0,11.0,16,2020-04-28 09:15:00

16074,1,0,0,1,13.0,3.0,16,2020-04-28 09:15:00

16075,1,1,1,1,3.0,2.0,16,2020-04-28 09:15:00

16076,1,9,7,1,3.0,14.0,16,2020-04-28 09:15:00

16077,2,1,1,1,29.0,31.0,16,2020-04-28 09:15:00

