bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,7,4,2,7,37,2021-02-12 12:15:00,35,3
01,01002,5,13,11,3,45,119,2021-02-12 12:15:00,119,39
01,01003,2,15,10,2,22,116,2021-02-12 12:15:00,116,22
01,01004,1,4,4,1,3,22,2021-02-12 12:15:00,22,3
01,01051,1,3,2,1,1,37,2021-02-12 12:15:00,37,1
01,01053,2,6,2,2,3,15,2021-02-12 12:15:00,15,3
01,01054,3,1,1,3,9,11,2021-02-12 12:15:00,11,9
01,01055,3,4,1,3,15,33,2021-02-12 12:15:00,33,15
01,01056,2,5,3,2,0,36,2021-02-12 12:15:00,36,0
01,01057,1,2,2,1,5,7,2021-02-12 12:15:00,7,5
01,01058,5,0,0,3,19,23,2021-02-12 12:15:00,23,13
01,01059,1,3,1,1,3,21,2021-02-12 12:15:00,21,3
01,01060,4,7,5,4,22,67,2021-02-12 12:15:00,67,22
01,01061,3,8,6,1,7,37,2021-02-12 12:15:00,27,5
01,01062,3,5,4,3,3,31,2021-02-12 12:15:00,31,3
02,02000,34,71,40,24,149,542,2021-02-12 12:15:00,475,106
03,03101,7,10,4,5,21,108,2021-02-12 12:15:00,93,19
03,03102,2,4,2,2,11,18,2021-02-12 12:15:00,18,11
03,03103,3,3,2,1,4,30,2021-02-12 12:15:00,22,4
03,03151,1,3,0,1,2,10,2021-02-12 12:15:00,10,2
03,03153,3,4,4,3,3,32,2021-02-12 12:15:00,32,3
03,03154,1,4,3,1,2,16,2021-02-12 12:15:00,16,2
03,03155,2,0,0,2,7,13,2021-02-12 12:15:00,13,7
03,03157,1,3,2,1,2,18,2021-02-12 12:15:00,18,2
03,03158,1,0,0,1,4,12,2021-02-12 12:15:00,12,4
03,03159,8,27,14,7,15,148,2021-02-12 12:15:00,129,15
03,03241,19,50,37,16,49,365,2021-02-12 12:15:00,326,35
03,03251,3,1,1,3,14,5,2021-02-12 12:15:00,5,14
03,03252,6,8,2,4,26,50,2021-02-12 12:15:00,50,20
03,03254,7,16,6,4,12,63,2021-02-12 12:15:00,57,8
03,03255,1,1,1,1,3,8,2021-02-12 12:15:00,8,3
03,03256,1,5,1,1,6,18,2021-02-12 12:15:00,18,6
03,03257,1,0,0,1,5,17,2021-02-12 12:15:00,17,5
03,03351,2,1,0,1,4,23,2021-02-12 12:15:00,18,2
03,03352,2,2,0,2,3,9,2021-02-12 12:15:00,9,3
03,03353,3,6,5,3,5,29,2021-02-12 12:15:00,29,5
03,03354,1,0,0,1,8,7,2021-02-12 12:15:00,7,8
