bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,5,5,2,6,35,2021-01-24 12:15:00,33,2
01,01002,5,10,5,3,46,112,2021-01-24 12:15:00,111,41
01,01003,2,13,6,2,28,108,2021-01-24 12:15:00,108,28
01,01004,1,1,1,1,5,20,2021-01-24 12:15:00,20,5
01,01051,1,5,5,1,2,36,2021-01-24 12:15:00,36,2
01,01053,2,4,1,2,3,13,2021-01-24 12:15:00,13,3
01,01054,3,2,1,3,3,7,2021-01-24 12:15:00,7,3
01,01055,3,4,0,3,13,35,2021-01-24 12:15:00,35,13
01,01056,2,5,4,2,4,30,2021-01-24 12:15:00,30,4
01,01057,1,3,1,1,6,6,2021-01-24 12:15:00,6,6
01,01058,5,1,1,3,18,24,2021-01-24 12:15:00,22,14
01,01059,1,6,4,1,1,23,2021-01-24 12:15:00,23,1
01,01060,4,7,3,4,23,66,2021-01-24 12:15:00,66,23
01,01061,3,8,5,1,14,35,2021-01-24 12:15:00,24,12
01,01062,3,7,5,3,4,30,2021-01-24 12:15:00,30,4
02,02000,34,97,57,24,119,545,2021-01-24 12:15:00,477,77
03,03101,7,6,4,5,17,103,2021-01-24 12:15:00,88,15
03,03102,2,3,3,2,6,23,2021-01-24 12:15:00,23,6
03,03103,3,5,2,1,8,27,2021-01-24 12:15:00,22,4
03,03151,1,5,2,1,3,9,2021-01-24 12:15:00,9,3
03,03153,3,10,5,3,1,32,2021-01-24 12:15:00,32,1
03,03154,1,8,7,1,1,17,2021-01-24 12:15:00,17,1
03,03155,2,2,1,2,6,15,2021-01-24 12:15:00,15,6
03,03157,1,3,3,1,4,18,2021-01-24 12:15:00,18,4
03,03158,1,3,2,1,3,13,2021-01-24 12:15:00,13,3
03,03159,8,25,10,7,17,153,2021-01-24 12:15:00,136,14
03,03241,19,67,35,16,55,356,2021-01-24 12:15:00,319,45
03,03251,3,1,1,3,9,10,2021-01-24 12:15:00,10,9
03,03252,6,5,3,4,9,55,2021-01-24 12:15:00,55,3
03,03254,7,10,5,4,14,61,2021-01-24 12:15:00,54,11
03,03255,1,5,3,1,2,9,2021-01-24 12:15:00,9,2
03,03256,1,5,1,1,5,19,2021-01-24 12:15:00,19,5
03,03257,1,2,0,1,5,17,2021-01-24 12:15:00,17,5
03,03351,2,2,0,1,2,26,2021-01-24 12:15:00,19,1
03,03352,2,3,2,2,2,12,2021-01-24 12:15:00,12,2
03,03353,3,6,3,3,3,31,2021-01-24 12:15:00,31,3
03,03354,1,1,1,1,1,10,2021-01-24 12:15:00,10,1
03,03355,3,1,0,1,10,34,2021-01-24 12:15:00,26,2
03,03356,3,1,0,2,3,10,2021-01-24 12:15:00,10,3
03,03357,3,2,0,2,6,26,2021-01-24 12:15:00,23,5
03,03358,2,4,2,2,7,13,2021-01-24 12:15:00,13,7
