bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,9,4,2,7,39,2021-02-07 12:15:00,36,4
01,01002,5,11,7,3,47,119,2021-02-07 12:15:00,119,41
01,01003,2,18,10,2,29,109,2021-02-07 12:15:00,109,29
01,01004,1,2,2,1,5,20,2021-02-07 12:15:00,20,5
01,01051,1,3,3,1,5,33,2021-02-07 12:15:00,33,5
01,01053,2,5,2,2,6,12,2021-02-07 12:15:00,12,6
01,01054,3,2,2,3,7,10,2021-02-07 12:15:00,10,7
01,01055,3,5,1,3,11,37,2021-02-07 12:15:00,37,11
01,01056,2,5,3,2,4,28,2021-02-07 12:15:00,28,4
01,01057,1,3,3,1,4,8,2021-02-07 12:15:00,8,4
01,01058,5,0,0,3,17,25,2021-02-07 12:15:00,23,13
01,01059,1,6,1,1,2,22,2021-02-07 12:15:00,22,2
01,01060,4,4,3,4,24,61,2021-02-07 12:15:00,61,24
01,01061,3,6,4,1,13,31,2021-02-07 12:15:00,23,9
01,01062,3,2,0,3,8,26,2021-02-07 12:15:00,26,8
02,02000,34,75,45,24,133,536,2021-02-07 12:15:00,469,90
03,03101,7,11,6,5,38,92,2021-02-07 12:15:00,78,35
03,03102,2,3,2,2,8,21,2021-02-07 12:15:00,21,8
03,03103,3,1,0,1,7,27,2021-02-07 12:15:00,19,7
03,03151,1,5,2,1,3,9,2021-02-07 12:15:00,9,3
03,03153,3,7,4,3,2,32,2021-02-07 12:15:00,32,2
03,03154,1,5,5,1,0,18,2021-02-07 12:15:00,18,0
03,03155,2,1,1,2,4,15,2021-02-07 12:15:00,15,4
03,03157,1,4,2,1,1,16,2021-02-07 12:15:00,16,1
03,03158,1,0,0,1,3,13,2021-02-07 12:15:00,13,3
03,03159,8,27,14,7,28,136,2021-02-07 12:15:00,118,27
03,03241,19,60,40,16,58,350,2021-02-07 12:15:00,311,52
03,03251,3,2,1,3,3,14,2021-02-07 12:15:00,14,3
03,03252,6,4,2,4,25,49,2021-02-07 12:15:00,49,19
03,03254,7,13,5,4,17,58,2021-02-07 12:15:00,51,14
03,03255,1,2,1,1,3,8,2021-02-07 12:15:00,8,3
03,03256,1,4,2,1,7,17,2021-02-07 12:15:00,17,7
03,03257,1,0,0,1,4,18,2021-02-07 12:15:00,18,4
03,03351,2,2,0,1,5,24,2021-02-07 12:15:00,18,4
03,03352,2,2,1,2,3,9,2021-02-07 12:15:00,9,3
03,03353,3,5,4,3,6,28,2021-02-07 12:15:00,28,6
03,03354,1,0,0,1,7,8,2021-02-07 12:15:00,8,7
03,03355,3,0,0,1,13,31,2021-02-07 12:15:00,24,4
03,03356,3,1,1,2,0,13,2021-02-07 12:15:00,13,0
03,03357,3,1,1,2,9,25,2021-02-07 12:15:00,23,7
03,03358,2,1,1,2,4,16,2021-02-07 12:15:00,16,4
03,03359,3,2,0,2,8,23,2021-02-07 12:15:00,23,5
03,03360,2,10,8,2,11,65,2021-02-07 12:15:00,65,11
03,03361,2,0,0,2,0,15,2021-02-07 12:15:00,15,0
03,03401,1,3,3,1,2,13,2021-02-07 12:15:00,13,2
03,03402,1,1,1,1,6,8,2021-02-07 12:15:00,8,6
03,03403,6,15,6,3,15,111,2021-02-07 12:15:00,98,1
03,03404,5,12,5,4,29,94,2021-02-07 12:15:00,80,27
03,03405,2,1,1,1,10,30,2021-02-07 12:15:00,27,5
03,03451,3,3,2,2,10,23,2021-02-07 12:15:00,23,10
03,03452,4,0,0,3,9,27,2021-02-07 12:15:00,27,1
03,03453,3,8,6,3,2,26,2021-02-07 12:15:00,26,2
03,03454,10,7,2,6,32,57,2021-02-07 12:15:00,48,15
03,03455,2,2,1,2,7,26,2021-02-07 12:15:00,26,7
03,03456,1,5,2,1,1,29,2021-02-07 12:15:00,29,1
03,03457,6,1,1,4,11,21,2021-02-07 12:15:00,20,7
03,03458,1,1,1,1,1,8,2021-02-07 12:15:00,8,1
03,03459,7,2,1,6,34,73,2021-02-07 12:15:00,73,34
03,03460,5,4,3,3,8,26,2021-02-07 12:15:00,22,4
03,03461,2,3,1,2,2,9,2021-02-07 12:15:00,9,2
03,03462,1,1,0,1,3,5,2021-02-07 12:15:00,5,3
04,04011,10,27,21,9,20,135,2021-02-07 12:15:00,128,15
04,04012,4,8,4,3,13,43,2021-02-07 12:15:00,35,7
05,05111,14,19,6,11,41,255,2021-02-07 12:15:00,235,32
05,05112,16,22,9,9,29,192,2021-02-07 12:15:00,162,18
05,05113,15,63,49,12,53,326,2021-02-07 12:15:00,300,49
05,05114,7,7,5,4,24,71,2021-02-07 12:15:00,61,19
05,05116,6,14,6,4,11,81,2021-02-07 12:15:00,74,11
05,05117,2,11,5,2,2,32,2021-02-07 12:15:00,32,2
05,05119,7,14,6,4,18,58,2021-02-07 12:15:00,48,15
05,05120,1,5,3,1,2,28,2021-02-07 12:15:00,28,2
05,05122,4,15,11,3,16,63,2021-02-07 12:15:00,62,13
05,05124,7,16,11,5,36,112,2021-02-07 12:15:00,104,30
05,05154,8,3,1,5,21,52,2021-02-07 12:15:00,51,14
05,05158,7,15,4,6,14,56,2021-02-07 12:15:00,55,13
05,05162,7,7,3,5,18,89,2021-02-07 12:15:00,83,10
05,05166,4,9,3,4,3,31,2021-02-07 12:15:00,31,3
05,05170,11,13,12,8,51,88,2021-02-07 12:15:00,87,43
05,05314,18,28,20,11,20,266,2021-02-07 12:15:00,214,14
05,05315,31,60,36,18,36,410,2021-02-07 12:15:00,357,29
05,05316,5,8,2,2,14,76,2021-02-07 12:15:00,64,2
05,05334,13,21,18,7,36,270,2021-02-07 12:15:00,251,34
05,05358,7,7,3,5,10,62,2021-02-07 12:15:00,56,8
05,05362,7,8,3,7,16,54,2021-02-07 12:15:00,54,16
05,05366,3,3,3,3,3,24,2021-02-07 12:15:00,24,3
05,05370,3,5,2,3,2,32,2021-02-07 12:15:00,32,2
05,05374,6,16,7,6,14,73,2021-02-07 12:15:00,73,14
05,05378,4,5,3,4,6,37,2021-02-07 12:15:00,37,6
05,05382,7,12,5,6,23,63,2021-02-07 12:15:00,52,22
05,05512,2,9,6,2,11,29,2021-02-07 12:15:00,29,11
05,05513,7,13,4,4,18,92,2021-02-07 12:15:00,80,4
05,05515,9,31,11,7,21,248,2021-02-07 12:15:00,236,16
05,05554,6,7,3,5,21,52,2021-02-07 12:15:00,52,19
05,05558,5,0,0,3,14,28,2021-02-07 12:15:00,18,14
05,05562,15,24,6,14,28,192,2021-02-07 12:15:00,169,19
05,05566,7,12,4,5,27,68,2021-02-07 12:15:00,59,23
05,05570,6,13,7,5,6,38,2021-02-07 12:15:00,38,4
05,05711,6,26,14,4,26,138,2021-02-07 12:15:00,116,24
05,05754,4,6,2,4,9,43,2021-02-07 12:15:00,43,9
05,05758,5,12,8,3,18,48,2021-02-07 12:15:00,43,13
05,05762,6,5,1,5,4,29,2021-02-07 12:15:00,27,2
05,05766,2,15,5,2,3,47,2021-02-07 12:15:00,47,3
05,05770,9,22,9,6,28,192,2021-02-07 12:15:00,173,20
05,05774,7,20,18,5,19,83,2021-02-07 12:15:00,73,14
05,05911,8,21,16,6,29,163,2021-02-07 12:15:00,150,21
05,05913,9,22,8,9,35,254,2021-02-07 12:15:00,254,35
05,05914,7,6,2,5,37,49,2021-02-07 12:15:00,48,28
05,05915,7,9,8,5,18,66,2021-02-07 12:15:00,58,4
05,05916,4,13,10,4,5,58,2021-02-07 12:15:00,58,5
05,05954,7,6,1,6,31,106,2021-02-07 12:15:00,106,31
05,05958,10,21,9,9,34,93,2021-02-07 12:15:00,89,30
05,05962,10,13,5,8,28,93,2021-02-07 12:15:00,89,24
05,05966,3,4,4,3,18,13,2021-02-07 12:15:00,13,18
05,05970,8,8,7,7,38,106,2021-02-07 12:15:00,89,29
05,05974,9,9,4,7,19,63,2021-02-07 12:15:00,58,14
05,05978,8,19,11,8,15,89,2021-02-07 12:15:00,89,15
06,06411,7,26,14,4,13,87,2021-02-07 12:15:00,53,2
06,06412,17,59,27,12,46,248,2021-02-07 12:15:00,226,38
06,06413,4,16,7,2,14,86,2021-02-07 12:15:00,78,9
06,06414,6,26,10,4,20,98,2021-02-07 12:15:00,87,19
06,06431,5,6,2,5,8,32,2021-02-07 12:15:00,32,8
06,06432,2,18,16,2,0,28,2021-02-07 12:15:00,28,0
06,06433,2,7,0,2,2,19,2021-02-07 12:15:00,19,2
06,06434,2,5,2,2,4,22,2021-02-07 12:15:00,22,4
06,06435,7,22,7,4,17,70,2021-02-07 12:15:00,63,10
06,06436,2,6,3,2,3,26,2021-02-07 12:15:00,26,3
06,06437,2,17,7,2,4,122,2021-02-07 12:15:00,122,4
06,06438,2,10,9,2,2,18,2021-02-07 12:15:00,18,2
06,06439,2,4,2,2,4,12,2021-02-07 12:15:00,12,4
06,06440,5,15,6,5,3,70,2021-02-07 12:15:00,70,3
06,06531,6,38,17,4,18,202,2021-02-07 12:15:00,180,17
06,06532,3,5,1,3,13,47,2021-02-07 12:15:00,47,13
06,06533,4,12,9,4,9,45,2021-02-07 12:15:00,45,9
06,06534,3,6,3,3,28,121,2021-02-07 12:15:00,121,28
06,06535,4,4,3,4,4,19,2021-02-07 12:15:00,19,4
06,06611,6,25,17,6,22,130,2021-02-07 12:15:00,130,22
06,06631,5,15,10,3,11,79,2021-02-07 12:15:00,73,6
06,06632,4,10,5,3,14,45,2021-02-07 12:15:00,39,13
06,06633,4,3,1,4,6,25,2021-02-07 12:15:00,25,6
06,06634,3,8,6,3,5,25,2021-02-07 12:15:00,25,5
06,06635,7,10,3,7,18,96,2021-02-07 12:15:00,96,18
06,06636,3,10,5,3,7,26,2021-02-07 12:15:00,26,7
07,07111,6,12,3,4,23,84,2021-02-07 12:15:00,72,17
07,07131,2,3,1,2,5,14,2021-02-07 12:15:00,14,5
07,07132,2,4,2,2,7,10,2021-02-07 12:15:00,10,7
07,07133,6,8,2,4,16,31,2021-02-07 12:15:00,26,7
07,07134,2,5,0,2,9,11,2021-02-07 12:15:00,11,9
07,07135,2,4,1,2,6,7,2021-02-07 12:15:00,7,6
07,07137,3,3,2,3,14,24,2021-02-07 12:15:00,24,14
07,07138,8,9,6,5,17,49,2021-02-07 12:15:00,39,14
07,07140,2,2,1,2,5,11,2021-02-07 12:15:00,11,5
07,07141,5,5,5,5,7,23,2021-02-07 12:15:00,23,7
07,07143,4,6,4,4,7,26,2021-02-07 12:15:00,26,7
07,07211,6,3,0,3,17,63,2021-02-07 12:15:00,51,17
07,07231,2,2,1,2,6,18,2021-02-07 12:15:00,18,6
07,07232,2,0,0,2,4,11,2021-02-07 12:15:00,11,4
07,07233,2,4,2,2,7,9,2021-02-07 12:15:00,9,7
07,07235,2,1,0,2,8,8,2021-02-07 12:15:00,8,8
07,07311,1,6,1,1,4,11,2021-02-07 12:15:00,11,4
07,07312,3,8,4,1,18,92,2021-02-07 12:15:00,84,13
07,07313,3,2,2,2,9,16,2021-02-07 12:15:00,16,2
07,07314,6,20,11,4,35,83,2021-02-07 12:15:00,76,26
07,07315,2,19,14,2,19,98,2021-02-07 12:15:00,98,19
07,07316,1,2,1,1,0,12,2021-02-07 12:15:00,12,0
07,07317,2,4,3,1,4,12,2021-02-07 12:15:00,8,4
07,07318,3,6,3,2,4,25,2021-02-07 12:15:00,25,4
07,07319,3,5,2,1,9,43,2021-02-07 12:15:00,26,4
07,07320,1,0,0,1,10,4,2021-02-07 12:15:00,4,10
07,07331,1,0,0,1,4,4,2021-02-07 12:15:00,4,4
07,07332,2,6,1,2,4,14,2021-02-07 12:15:00,14,4
07,07333,2,2,0,2,3,9,2021-02-07 12:15:00,9,3
07,07334,2,6,6,2,3,19,2021-02-07 12:15:00,19,3
07,07335,1,1,0,1,8,6,2021-02-07 12:15:00,6,8
07,07336,1,2,0,1,0,16,2021-02-07 12:15:00,16,0
07,07337,2,0,0,2,2,11,2021-02-07 12:15:00,11,2
07,07339,1,4,3,1,0,10,2021-02-07 12:15:00,10,0
07,07340,1,0,0,1,6,3,2021-02-07 12:15:00,3,6
08,08111,12,30,23,10,53,216,2021-02-07 12:15:00,194,48
08,08115,6,2,0,4,15,40,2021-02-07 12:15:00,29,13
08,08116,8,13,7,4,18,62,2021-02-07 12:15:00,52,11
08,08117,5,3,2,3,14,35,2021-02-07 12:15:00,32,5
08,08118,5,18,13,4,12,82,2021-02-07 12:15:00,81,10
08,08119,4,7,3,2,5,56,2021-02-07 12:15:00,48,0
08,08121,3,17,12,1,12,51,2021-02-07 12:15:00,41,3
08,08125,2,4,3,2,3,45,2021-02-07 12:15:00,45,3
08,08126,1,3,3,1,0,7,2021-02-07 12:15:00,7,0
08,08127,4,4,3,2,13,40,2021-02-07 12:15:00,34,11
08,08128,4,4,3,3,10,52,2021-02-07 12:15:00,40,6
08,08135,2,0,0,1,6,16,2021-02-07 12:15:00,14,2
08,08136,8,4,2,4,17,55,2021-02-07 12:15:00,41,11
08,08211,3,0,0,1,7,13,2021-02-07 12:15:00,7,3
08,08212,6,14,5,4,22,108,2021-02-07 12:15:00,98,20
08,08215,3,7,5,3,7,43,2021-02-07 12:15:00,43,7
08,08216,2,0,0,2,2,10,2021-02-07 12:15:00,10,2
08,08221,8,28,17,6,37,207,2021-02-07 12:15:00,175,30
08,08222,6,18,12,3,16,117,2021-02-07 12:15:00,96,14
08,08225,3,3,3,3,6,13,2021-02-07 12:15:00,13,6
08,08226,4,10,4,4,10,33,2021-02-07 12:15:00,33,10
08,08231,4,11,9,2,5,56,2021-02-07 12:15:00,43,5
08,08235,3,5,5,3,4,19,2021-02-07 12:15:00,19,4
08,08236,2,0,0,2,0,12,2021-02-07 12:15:00,12,0
08,08237,1,3,1,1,2,12,2021-02-07 12:15:00,12,2
08,08311,7,25,15,4,34,157,2021-02-07 12:15:00,131,24
08,08315,4,10,2,4,11,42,2021-02-07 12:15:00,42,11
08,08316,3,7,7,3,2,89,2021-02-07 12:15:00,89,2
08,08317,8,14,4,6,26,64,2021-02-07 12:15:00,58,20
08,08325,2,4,2,2,2,8,2021-02-07 12:15:00,8,2
08,08326,6,10,3,2,17,41,2021-02-07 12:15:00,35,13
08,08327,1,3,1,1,2,10,2021-02-07 12:15:00,10,2
08,08335,10,7,3,6,21,76,2021-02-07 12:15:00,59,19
08,08336,2,2,1,2,1,26,2021-02-07 12:15:00,16,1
08,08337,1,3,2,1,0,10,2021-02-07 12:15:00,10,0
08,08415,3,2,1,1,13,31,2021-02-07 12:15:00,18,2
08,08416,5,9,9,2,11,101,2021-02-07 12:15:00,77,6
08,08417,1,8,1,1,5,19,2021-02-07 12:15:00,19,5
08,08421,5,19,12,4,36,114,2021-02-07 12:15:00,94,34
08,08425,2,1,1,2,4,10,2021-02-07 12:15:00,10,4
08,08426,1,4,2,1,1,13,2021-02-07 12:15:00,13,1
08,08435,5,2,0,3,15,51,2021-02-07 12:15:00,50,11
08,08436,6,11,8,4,18,56,2021-02-07 12:15:00,54,8
08,08437,2,2,2,2,5,9,2021-02-07 12:15:00,9,5
09,09161,1,10,3,1,7,43,2021-02-07 12:15:00,43,7
09,09162,35,86,58,25,67,522,2021-02-07 12:15:00,451,59
09,09163,3,3,3,1,13,33,2021-02-07 12:15:00,25,7
09,09171,3,5,2,2,2,26,2021-02-07 12:15:00,19,2
09,09172,3,3,3,3,2,19,2021-02-07 12:15:00,19,2
09,09173,2,3,1,2,2,22,2021-02-07 12:15:00,22,2
09,09174,1,9,4,1,1,27,2021-02-07 12:15:00,27,1
09,09175,1,1,1,1,3,18,2021-02-07 12:15:00,18,3
09,09176,3,2,1,3,7,46,2021-02-07 12:15:00,46,7
09,09177,1,3,1,1,7,12,2021-02-07 12:15:00,12,7
09,09178,1,4,2,1,4,14,2021-02-07 12:15:00,14,4
09,09179,1,3,2,1,1,11,2021-02-07 12:15:00,11,1
09,09180,4,7,1,2,10,59,2021-02-07 12:15:00,54,9
09,09181,2,4,1,1,2,12,2021-02-07 12:15:00,10,1
09,09182,1,4,2,1,10,16,2021-02-07 12:15:00,16,10
09,09183,1,4,3,1,2,12,2021-02-07 12:15:00,12,2
09,09184,2,1,0,2,2,8,2021-02-07 12:15:00,8,2
09,09185,4,0,0,2,13,21,2021-02-07 12:15:00,10,4
09,09186,1,0,0,1,2,6,2021-02-07 12:15:00,6,2
09,09187,5,14,11,5,12,50,2021-02-07 12:15:00,50,12
09,09188,6,11,9,5,11,47,2021-02-07 12:15:00,44,8
09,09189,4,8,2,3,5,51,2021-02-07 12:15:00,42,2
09,09190,3,1,1,3,8,16,2021-02-07 12:15:00,16,8
09,09261,5,4,2,3,5,55,2021-02-07 12:15:00,38,2
09,09262,4,9,6,2,13,32,2021-02-07 12:15:00,24,7
09,09263,1,3,1,1,6,24,2021-02-07 12:15:00,24,6
09,09271,2,14,10,2,5,35,2021-02-07 12:15:00,35,5
09,09272,2,5,3,2,0,18,2021-02-07 12:15:00,18,0
09,09273,3,3,1,3,2,8,2021-02-07 12:15:00,8,2
09,09274,1,3,1,1,1,5,2021-02-07 12:15:00,5,1
09,09275,2,12,4,2,4,21,2021-02-07 12:15:00,21,4
09,09276,2,4,1,2,5,9,2021-02-07 12:15:00,9,5
09,09277,2,4,2,2,5,11,2021-02-07 12:15:00,11,5
09,09278,2,3,1,2,0,10,2021-02-07 12:15:00,10,0
09,09279,2,0,0,2,2,16,2021-02-07 12:15:00,16,2
09,09361,3,4,1,1,8,38,2021-02-07 12:15:00,29,6
09,09362,7,35,25,4,36,181,2021-02-07 12:15:00,165,25
09,09363,3,14,8,1,5,59,2021-02-07 12:15:00,50,3
09,09371,1,0,0,1,1,9,2021-02-07 12:15:00,9,1
09,09372,1,3,2,1,2,12,2021-02-07 12:15:00,12,2
09,09373,1,6,5,1,3,19,2021-02-07 12:15:00,19,3
09,09375,2,2,0,2,5,7,2021-02-07 12:15:00,7,5
09,09376,4,4,1,4,4,18,2021-02-07 12:15:00,18,4
09,09377,2,7,4,2,3,13,2021-02-07 12:15:00,13,3
09,09461,5,9,4,1,17,36,2021-02-07 12:15:00,25,8
09,09462,7,10,9,2,11,54,2021-02-07 12:15:00,48,9
09,09463,3,5,2,1,10,29,2021-02-07 12:15:00,23,7
09,09464,3,8,1,1,7,26,2021-02-07 12:15:00,24,3
09,09471,2,1,1,2,10,6,2021-02-07 12:15:00,6,10
09,09472,1,0,0,1,1,6,2021-02-07 12:15:00,6,1
09,09474,2,3,1,2,3,11,2021-02-07 12:15:00,11,3
09,09475,2,2,1,2,2,15,2021-02-07 12:15:00,15,2
09,09476,1,3,0,1,1,13,2021-02-07 12:15:00,13,1
09,09477,1,8,6,1,2,25,2021-02-07 12:15:00,25,2
09,09478,3,3,3,3,14,33,2021-02-07 12:15:00,33,14
09,09479,2,8,1,2,5,15,2021-02-07 12:15:00,15,5
09,09561,2,6,1,2,7,20,2021-02-07 12:15:00,20,7
09,09562,5,28,21,3,17,128,2021-02-07 12:15:00,110,8
09,09563,3,6,3,1,8,41,2021-02-07 12:15:00,36,4
09,09564,12,43,24,6,39,161,2021-02-07 12:15:00,135,27
09,09565,1,1,0,1,1,4,2021-02-07 12:15:00,4,1
09,09571,3,6,2,3,8,15,2021-02-07 12:15:00,15,8
09,09572,1,0,0,1,1,5,2021-02-07 12:15:00,5,1
09,09574,3,7,3,3,3,21,2021-02-07 12:15:00,21,3
09,09575,2,3,2,2,10,31,2021-02-07 12:15:00,31,10
09,09576,1,3,3,1,1,5,2021-02-07 12:15:00,5,1
09,09577,2,4,1,2,2,14,2021-02-07 12:15:00,14,2
09,09661,3,9,2,1,5,54,2021-02-07 12:15:00,42,5
09,09662,4,7,6,2,11,60,2021-02-07 12:15:00,47,10
09,09663,4,6,5,2,30,108,2021-02-07 12:15:00,108,26
