bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,0,0,2,51,28,2020-06-02 09:15:00
01,01002,5,0,0,3,145,111,2020-06-02 09:15:00
01,01003,2,0,0,2,126,117,2020-06-02 09:15:00
01,01004,1,0,0,1,20,20,2020-06-02 09:15:00
01,01051,1,2,2,1,21,35,2020-06-02 09:15:00
01,01053,2,0,0,2,9,15,2020-06-02 09:15:00
01,01054,3,0,0,3,21,23,2020-06-02 09:15:00
01,01055,3,0,0,3,30,22,2020-06-02 09:15:00
01,01056,2,0,0,2,12,21,2020-06-02 09:15:00
01,01057,1,0,0,1,9,3,2020-06-02 09:15:00
01,01058,3,0,0,3,12,38,2020-06-02 09:15:00
01,01059,1,2,0,1,12,12,2020-06-02 09:15:00
01,01060,4,0,0,4,61,73,2020-06-02 09:15:00
01,01061,1,0,0,1,18,22,2020-06-02 09:15:00
01,01062,3,1,1,3,35,25,2020-06-02 09:15:00
02,02000,26,21,19,23,396,540,2020-06-02 09:15:00
03,03101,5,2,1,5,73,86,2020-06-02 09:15:00
03,03102,2,0,0,2,10,17,2020-06-02 09:15:00
03,03103,1,1,0,1,27,21,2020-06-02 09:15:00
03,03151,2,0,0,2,8,28,2020-06-02 09:15:00
03,03153,3,0,0,3,54,35,2020-06-02 09:15:00
03,03154,1,0,0,1,18,18,2020-06-02 09:15:00
03,03155,2,0,0,2,12,11,2020-06-02 09:15:00
03,03157,1,0,0,1,10,12,2020-06-02 09:15:00
03,03158,1,2,2,1,6,10,2020-06-02 09:15:00
03,03159,8,3,1,7,73,141,2020-06-02 09:15:00
03,03241,16,23,13,16,164,330,2020-06-02 09:15:00
03,03251,3,0,0,3,7,7,2020-06-02 09:15:00
03,03252,4,1,0,4,18,57,2020-06-02 09:15:00
03,03254,5,1,1,4,42,56,2020-06-02 09:15:00
03,03255,1,0,0,1,4,10,2020-06-02 09:15:00
03,03256,1,0,0,1,14,20,2020-06-02 09:15:00
03,03257,1,0,0,1,7,16,2020-06-02 09:15:00
03,03351,3,0,0,1,9,32,2020-06-02 09:15:00
03,03352,2,0,0,2,7,11,2020-06-02 09:15:00
03,03353,3,0,0,3,26,40,2020-06-02 09:15:00
03,03354,1,0,0,1,16,7,2020-06-02 09:15:00
03,03355,2,0,0,2,17,21,2020-06-02 09:15:00
03,03356,2,1,0,2,5,10,2020-06-02 09:15:00
03,03357,3,0,0,2,6,28,2020-06-02 09:15:00
03,03358,3,0,0,3,13,22,2020-06-02 09:15:00
