bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,1,1,2,48,36,2020-05-13 09:15:00
01,01002,5,2,2,3,121,121,2020-05-13 09:15:00
01,01003,2,2,2,2,115,108,2020-05-13 09:15:00
01,01004,1,0,0,1,22,18,2020-05-13 09:15:00
01,01051,1,2,2,1,56,32,2020-05-13 09:15:00
01,01053,2,0,0,2,10,14,2020-05-13 09:15:00
01,01054,1,0,0,1,8,2,2020-05-13 09:15:00
01,01055,3,0,0,3,20,34,2020-05-13 09:15:00
01,01056,2,2,1,2,3,30,2020-05-13 09:15:00
01,01057,1,0,0,1,1,11,2020-05-13 09:15:00
01,01058,2,1,0,2,27,24,2020-05-13 09:15:00
01,01059,1,0,0,1,13,11,2020-05-13 09:15:00
01,01060,3,0,0,3,52,74,2020-05-13 09:15:00
01,01061,1,0,0,1,15,25,2020-05-13 09:15:00
01,01062,3,0,0,3,20,38,2020-05-13 09:15:00
02,02000,24,50,41,22,342,546,2020-05-13 09:15:00
03,03101,5,2,2,5,58,93,2020-05-13 09:15:00
03,03102,2,2,0,2,1,27,2020-05-13 09:15:00
03,03103,1,2,1,1,29,19,2020-05-13 09:15:00
03,03151,1,0,0,1,12,10,2020-05-13 09:15:00
03,03153,3,6,4,3,34,40,2020-05-13 09:15:00
03,03154,1,1,1,1,18,16,2020-05-13 09:15:00
03,03155,2,1,1,2,6,17,2020-05-13 09:15:00
03,03157,1,0,0,1,13,9,2020-05-13 09:15:00
03,03158,1,3,3,1,8,8,2020-05-13 09:15:00
03,03159,6,6,4,6,51,126,2020-05-13 09:15:00
03,03241,16,27,18,16,157,348,2020-05-13 09:15:00
03,03251,3,2,1,3,9,8,2020-05-13 09:15:00
03,03252,4,2,2,4,15,61,2020-05-13 09:15:00
03,03254,4,4,4,4,39,49,2020-05-13 09:15:00
03,03255,1,0,0,1,4,10,2020-05-13 09:15:00
03,03256,1,0,0,1,18,16,2020-05-13 09:15:00
03,03257,1,2,1,1,3,20,2020-05-13 09:15:00
03,03351,3,0,0,1,26,21,2020-05-13 09:15:00
03,03352,2,0,0,2,6,10,2020-05-13 09:15:00
03,03353,2,3,0,2,22,15,2020-05-13 09:15:00
03,03354,1,0,0,1,24,3,2020-05-13 09:15:00
03,03355,1,0,0,1,21,17,2020-05-13 09:15:00
03,03356,2,0,0,2,2,14,2020-05-13 09:15:00
03,03357,3,0,0,2,13,21,2020-05-13 09:15:00
03,03358,3,0,0,3,20,22,2020-05-13 09:15:00
03,03359,3,0,0,2,13,22,2020-05-13 09:15:00
03,03360,2,1,0,2,29,23,2020-05-13 09:15:00
03,03361,2,0,0,2,4,13,2020-05-13 09:15:00
03,03401,1,2,2,1,17,12,2020-05-13 09:15:00
03,03402,1,0,0,1,13,8,2020-05-13 09:15:00
03,03403,4,12,5,3,201,59,2020-05-13 09:15:00
03,03404,4,6,3,4,100,48,2020-05-13 09:15:00
03,03405,1,1,1,1,15,16,2020-05-13 09:15:00
03,03451,2,2,1,2,15,13,2020-05-13 09:15:00
03,03452,2,1,1,2,11,27,2020-05-13 09:15:00
03,03453,2,1,1,2,14,26,2020-05-13 09:15:00
03,03454,6,2,2,6,48,54,2020-05-13 09:15:00
03,03455,2,0,0,2,10,3,2020-05-13 09:15:00
03,03456,1,3,2,1,7,23,2020-05-13 09:15:00
03,03457,3,0,0,2,22,21,2020-05-13 09:15:00
03,03458,1,0,0,1,11,4,2020-05-13 09:15:00
03,03459,7,1,0,6,57,77,2020-05-13 09:15:00
03,03460,3,0,0,3,44,24,2020-05-13 09:15:00
03,03461,1,0,0,1,0,15,2020-05-13 09:15:00
03,03462,1,0,0,1,7,6,2020-05-13 09:15:00
04,04011,10,5,3,9,90,96,2020-05-13 09:15:00
04,04012,3,7,4,3,12,62,2020-05-13 09:15:00
05,05111,12,15,6,11,69,242,2020-05-13 09:15:00
05,05112,12,13,9,9,74,173,2020-05-13 09:15:00
05,05113,14,19,17,13,94,242,2020-05-13 09:15:00
05,05114,6,7,6,4,33,72,2020-05-13 09:15:00
05,05116,5,7,6,4,35,384,2020-05-13 09:15:00
05,05117,2,3,2,2,23,31,2020-05-13 09:15:00
05,05119,6,0,0,4,28,46,2020-05-13 09:15:00
05,05120,1,2,2,1,13,24,2020-05-13 09:15:00
05,05122,3,7,6,3,40,53,2020-05-13 09:15:00
05,05124,5,7,5,5,104,109,2020-05-13 09:15:00
05,05154,5,7,6,5,28,49,2020-05-13 09:15:00
05,05158,6,1,0,6,48,46,2020-05-13 09:15:00
05,05162,7,5,3,6,29,93,2020-05-13 09:15:00
05,05166,4,4,2,4,31,29,2020-05-13 09:15:00
05,05170,9,11,5,8,70,96,2020-05-13 09:15:00
05,05314,16,15,13,11,81,201,2020-05-13 09:15:00
05,05315,23,17,9,17,82,298,2020-05-13 09:15:00
05,05316,4,0,0,2,34,54,2020-05-13 09:15:00
05,05334,10,30,27,7,72,224,2020-05-13 09:15:00
05,05358,6,4,3,5,33,47,2020-05-13 09:15:00
05,05362,7,6,4,7,22,57,2020-05-13 09:15:00
05,05366,3,1,1,3,9,41,2020-05-13 09:15:00
05,05370,3,3,2,3,4,32,2020-05-13 09:15:00
05,05374,6,0,0,6,39,46,2020-05-13 09:15:00
05,05378,4,1,1,4,28,24,2020-05-13 09:15:00
05,05382,6,2,0,6,34,62,2020-05-13 09:15:00
05,05512,2,1,1,2,47,15,2020-05-13 09:15:00
05,05513,6,2,1,4,60,72,2020-05-13 09:15:00
05,05515,8,8,5,7,67,196,2020-05-13 09:15:00
05,05554,5,4,3,5,33,49,2020-05-13 09:15:00
05,05558,3,1,0,3,27,10,2020-05-13 09:15:00
05,05562,14,5,1,14,105,204,2020-05-13 09:15:00
05,05566,6,10,7,5,40,52,2020-05-13 09:15:00
05,05570,5,2,2,5,30,32,2020-05-13 09:15:00
05,05711,5,3,3,4,52,113,2020-05-13 09:15:00
05,05754,2,1,0,2,14,24,2020-05-13 09:15:00
05,05758,4,2,2,3,26,46,2020-05-13 09:15:00
05,05762,5,3,2,5,22,23,2020-05-13 09:15:00
05,05766,2,1,1,2,27,55,2020-05-13 09:15:00
05,05770,5,3,1,5,55,83,2020-05-13 09:15:00
05,05774,5,5,5,4,46,77,2020-05-13 09:15:00
05,05911,8,2,2,6,104,151,2020-05-13 09:15:00
05,05913,7,8,8,7,56,237,2020-05-13 09:15:00
05,05914,5,4,3,5,47,36,2020-05-13 09:15:00
05,05915,5,2,0,5,32,53,2020-05-13 09:15:00
05,05916,4,4,4,4,24,45,2020-05-13 09:15:00
05,05954,5,1,0,5,40,61,2020-05-13 09:15:00
05,05958,9,4,2,9,60,69,2020-05-13 09:15:00
05,05962,8,10,7,8,47,83,2020-05-13 09:15:00
05,05966,3,5,4,3,24,23,2020-05-13 09:15:00
05,05970,6,2,2,6,51,89,2020-05-13 09:15:00
05,05974,8,2,1,7,47,59,2020-05-13 09:15:00
05,05978,7,0,0,7,53,65,2020-05-13 09:15:00
06,06411,6,8,2,4,27,50,2020-05-13 09:15:00
06,06412,16,26,21,12,98,286,2020-05-13 09:15:00
06,06413,2,3,2,2,44,70,2020-05-13 09:15:00
06,06414,5,6,6,4,50,83,2020-05-13 09:15:00
06,06431,5,3,1,5,23,32,2020-05-13 09:15:00
06,06432,2,8,6,2,3,24,2020-05-13 09:15:00
06,06433,2,4,4,2,10,21,2020-05-13 09:15:00
06,06434,3,1,0,3,9,22,2020-05-13 09:15:00
06,06435,4,7,6,4,38,55,2020-05-13 09:15:00
06,06436,2,2,2,2,3,30,2020-05-13 09:15:00
06,06437,2,10,5,2,25,117,2020-05-13 09:15:00
06,06438,2,10,9,2,21,36,2020-05-13 09:15:00
06,06439,2,1,1,2,14,8,2020-05-13 09:15:00
06,06440,5,3,1,5,62,72,2020-05-13 09:15:00
06,06531,4,8,8,4,54,218,2020-05-13 09:15:00
06,06532,2,2,0,2,17,45,2020-05-13 09:15:00
06,06533,3,0,0,3,25,37,2020-05-13 09:15:00
06,06534,4,3,2,3,45,142,2020-05-13 09:15:00
06,06535,4,1,1,4,29,12,2020-05-13 09:15:00
06,06611,6,3,2,6,52,139,2020-05-13 09:15:00
06,06631,4,5,4,4,15,60,2020-05-13 09:15:00
06,06632,3,0,0,3,31,42,2020-05-13 09:15:00
06,06633,3,0,0,3,13,17,2020-05-13 09:15:00
06,06634,3,1,1,3,35,16,2020-05-13 09:15:00
06,06635,5,0,0,5,32,63,2020-05-13 09:15:00
06,06636,3,1,0,3,29,24,2020-05-13 09:15:00
07,07111,5,0,0,4,54,57,2020-05-13 09:15:00
07,07131,2,2,0,2,9,16,2020-05-13 09:15:00
07,07132,2,3,0,2,12,6,2020-05-13 09:15:00
07,07133,4,0,0,4,32,20,2020-05-13 09:15:00
07,07134,2,0,0,2,12,16,2020-05-13 09:15:00
07,07135,2,0,0,2,11,6,2020-05-13 09:15:00
07,07137,3,0,0,3,19,7,2020-05-13 09:15:00
07,07138,4,1,0,4,30,24,2020-05-13 09:15:00
07,07140,2,1,0,2,4,10,2020-05-13 09:15:00
07,07141,5,3,3,5,25,22,2020-05-13 09:15:00
07,07143,4,3,1,4,17,18,2020-05-13 09:15:00
07,07211,4,2,0,3,47,67,2020-05-13 09:15:00
07,07231,2,0,0,2,19,19,2020-05-13 09:15:00
07,07232,2,0,0,2,8,11,2020-05-13 09:15:00
07,07233,2,3,2,2,14,3,2020-05-13 09:15:00
07,07235,2,0,0,2,11,5,2020-05-13 09:15:00
07,07311,1,1,0,1,8,14,2020-05-13 09:15:00
07,07312,1,4,3,1,53,121,2020-05-13 09:15:00
07,07313,2,0,0,1,7,4,2020-05-13 09:15:00
07,07314,4,1,0,4,62,65,2020-05-13 09:15:00
07,07315,3,14,6,2,73,182,2020-05-13 09:15:00
07,07316,1,0,0,1,8,13,2020-05-13 09:15:00
07,07317,1,0,0,1,9,7,2020-05-13 09:15:00
07,07318,3,2,2,2,17,23,2020-05-13 09:15:00
07,07319,1,0,0,1,9,22,2020-05-13 09:15:00
07,07320,1,1,1,1,11,3,2020-05-13 09:15:00
07,07331,1,0,0,1,3,5,2020-05-13 09:15:00
07,07332,2,1,1,2,8,13,2020-05-13 09:15:00
07,07333,2,0,0,2,2,10,2020-05-13 09:15:00
07,07334,2,0,0,2,20,12,2020-05-13 09:15:00
07,07335,1,0,0,1,6,9,2020-05-13 09:15:00
07,07336,1,0,0,1,4,12,2020-05-13 09:15:00
07,07339,2,6,3,2,16,10,2020-05-13 09:15:00
07,07340,1,0,0,1,6,3,2020-05-13 09:15:00
08,08111,10,16,9,9,247,294,2020-05-13 09:15:00
08,08115,4,2,2,4,21,36,2020-05-13 09:15:00
08,08116,6,4,2,4,36,50,2020-05-13 09:15:00
08,08117,3,5,4,2,28,37,2020-05-13 09:15:00
08,08118,5,15,9,4,142,79,2020-05-13 09:15:00
08,08119,2,7,5,2,69,39,2020-05-13 09:15:00
08,08121,1,13,7,1,64,44,2020-05-13 09:15:00
08,08125,2,4,4,2,12,37,2020-05-13 09:15:00
08,08126,1,3,1,1,6,6,2020-05-13 09:15:00
08,08127,2,4,2,2,15,13,2020-05-13 09:15:00
08,08128,3,7,5,3,27,41,2020-05-13 09:15:00
08,08135,1,2,1,1,11,13,2020-05-13 09:15:00
08,08136,3,3,3,3,23,26,2020-05-13 09:15:00
08,08211,1,2,1,1,9,14,2020-05-13 09:15:00
08,08212,4,1,1,4,71,110,2020-05-13 09:15:00
08,08215,3,5,4,3,12,52,2020-05-13 09:15:00
08,08216,2,0,0,2,2,13,2020-05-13 09:15:00
08,08221,5,15,8,5,85,224,2020-05-13 09:15:00
08,08222,5,12,6,3,21,122,2020-05-13 09:15:00
08,08225,3,3,1,3,6,11,2020-05-13 09:15:00
08,08226,4,2,1,4,17,31,2020-05-13 09:15:00
08,08231,2,4,3,2,43,30,2020-05-13 09:15:00
08,08235,2,3,3,2,9,13,2020-05-13 09:15:00
08,08236,2,4,0,2,11,13,2020-05-13 09:15:00
08,08237,1,0,0,1,9,5,2020-05-13 09:15:00
08,08311,5,10,9,4,47,148,2020-05-13 09:15:00
08,08315,4,1,0,4,55,66,2020-05-13 09:15:00
08,08316,2,3,1,2,5,9,2020-05-13 09:15:00
08,08317,6,7,1,6,78,49,2020-05-13 09:15:00
