"date","location","location_name","value"
2020-01-22,"Germany","Germany",0
2020-01-23,"Germany","Germany",0
2020-01-24,"Germany","Germany",0
2020-01-25,"Germany","Germany",0
2020-01-26,"Germany","Germany",0
2020-01-27,"Germany","Germany",0
2020-01-28,"Germany","Germany",0
2020-01-29,"Germany","Germany",0
2020-01-30,"Germany","Germany",0
2020-01-31,"Germany","Germany",0
2020-02-01,"Germany","Germany",0
2020-02-02,"Germany","Germany",0
2020-02-03,"Germany","Germany",0
2020-02-04,"Germany","Germany",0
2020-02-05,"Germany","Germany",0
2020-02-06,"Germany","Germany",0
2020-02-07,"Germany","Germany",0
2020-02-08,"Germany","Germany",0
2020-02-09,"Germany","Germany",0
2020-02-10,"Germany","Germany",0
2020-02-11,"Germany","Germany",0
2020-02-12,"Germany","Germany",0
2020-02-13,"Germany","Germany",0
2020-02-14,"Germany","Germany",0
2020-02-15,"Germany","Germany",0
2020-02-16,"Germany","Germany",0
2020-02-17,"Germany","Germany",0
2020-02-18,"Germany","Germany",0
2020-02-19,"Germany","Germany",0
2020-02-20,"Germany","Germany",0
2020-02-21,"Germany","Germany",0
2020-02-22,"Germany","Germany",0
2020-02-23,"Germany","Germany",0
2020-02-24,"Germany","Germany",0
2020-02-25,"Germany","Germany",0
2020-02-26,"Germany","Germany",0
2020-02-27,"Germany","Germany",0
2020-02-28,"Germany","Germany",0
2020-02-29,"Germany","Germany",0
2020-03-01,"Germany","Germany",0
2020-03-02,"Germany","Germany",0
2020-03-03,"Germany","Germany",0
2020-03-04,"Germany","Germany",0
2020-03-05,"Germany","Germany",0
2020-03-06,"Germany","Germany",0
2020-03-07,"Germany","Germany",0
2020-03-08,"Germany","Germany",0
2020-03-09,"Germany","Germany",2
2020-03-10,"Germany","Germany",2
2020-03-11,"Germany","Germany",3
2020-03-12,"Germany","Germany",3
2020-03-13,"Germany","Germany",7
2020-03-14,"Germany","Germany",9
2020-03-15,"Germany","Germany",11
2020-03-16,"Germany","Germany",17
2020-03-17,"Germany","Germany",24
2020-03-18,"Germany","Germany",28
2020-03-19,"Germany","Germany",44
2020-03-20,"Germany","Germany",67
2020-03-21,"Germany","Germany",84
2020-03-22,"Germany","Germany",94
2020-03-23,"Germany","Germany",123
2020-03-24,"Germany","Germany",157
2020-03-25,"Germany","Germany",206
2020-03-26,"Germany","Germany",267
2020-03-27,"Germany","Germany",342
2020-03-28,"Germany","Germany",433
2020-03-29,"Germany","Germany",533
2020-03-30,"Germany","Germany",645
2020-03-31,"Germany","Germany",775
2020-04-01,"Germany","Germany",920
2020-04-02,"Germany","Germany",1107
2020-04-03,"Germany","Germany",1275
2020-04-04,"Germany","Germany",1444
2020-04-05,"Germany","Germany",1584
2020-04-06,"Germany","Germany",1810
2020-04-07,"Germany","Germany",2016
2020-04-08,"Germany","Germany",2349
2020-04-09,"Germany","Germany",2607
2020-04-10,"Germany","Germany",2767
2020-04-11,"Germany","Germany",2736
2020-04-12,"Germany","Germany",3022
2020-04-13,"Germany","Germany",3194
2020-04-14,"Germany","Germany",3294
2020-04-15,"Germany","Germany",3804
2020-04-16,"Germany","Germany",4052
2020-04-17,"Germany","Germany",4352
2020-04-18,"Germany","Germany",4459
2020-04-19,"Germany","Germany",4586
2020-04-20,"Germany","Germany",4862
2020-04-21,"Germany","Germany",5033
2020-04-22,"Germany","Germany",5279
2020-04-23,"Germany","Germany",5575
2020-04-24,"Germany","Germany",5760
2020-04-25,"Germany","Germany",5877
2020-04-26,"Germany","Germany",5976
2020-04-27,"Germany","Germany",6126
2020-04-28,"Germany","Germany",6314
2020-04-29,"Germany","Germany",6467
2020-04-30,"Germany","Germany",6623
2020-05-01,"Germany","Germany",6736
2020-05-02,"Germany","Germany",6812
2020-05-03,"Germany","Germany",6866
2020-05-04,"Germany","Germany",6993
2020-05-05,"Germany","Germany",6993
2020-05-06,"Germany","Germany",7275
2020-05-07,"Germany","Germany",7392
2020-05-08,"Germany","Germany",7510
